# Creating system...
# System created with N=1000 particles

# Initial state:
# Susceptibles: 999, Infected: 1

# Starting simulation...
# Step	Time		S	I
0	0.0000		999	1
100	1.0000		960	40
200	2.0000		729	271
300	3.0000		346	654
400	4.0000		132	868
500	5.0000		122	878
600	6.0000		134	866
700	7.0000		139	861
800	8.0000		117	883
900	9.0000		112	888
1000	10.0000		129	871
1100	11.0000		118	882
1200	12.0000		128	872
1300	13.0000		132	868
1400	14.0000		150	850
1500	15.0000		115	885
1600	16.0000		109	891
1700	17.0000		122	878
1800	18.0000		124	876
1900	19.0000		102	898
2000	20.0000		122	878
2100	21.0000		140	860
2200	22.0000		101	899
2300	23.0000		120	880
2400	24.0000		119	881
2500	25.0000		116	884
2600	26.0000		126	874
2700	27.0000		128	872
2800	28.0000		126	874
2900	29.0000		112	888
3000	30.0000		117	883
3100	31.0000		118	882
3200	32.0000		122	878
3300	33.0000		121	879
3400	34.0000		123	877
3500	35.0000		127	873
3600	36.0000		114	886
3700	37.0000		103	897
3800	38.0000		112	888
3900	39.0000		134	866
4000	40.0000		116	884
4100	41.0000		131	869
4200	42.0000		127	873
4300	43.0000		137	863
4400	44.0000		122	878
4500	45.0000		118	882
4600	46.0000		124	876
4700	47.0000		118	882
4800	48.0000		124	876
4900	49.0000		116	884
5000	50.0000		110	890
5100	51.0000		139	861
5200	52.0000		143	857
5300	53.0000		112	888
5400	54.0000		111	889
5500	55.0000		127	873
5600	56.0000		115	885
5700	57.0000		119	881
5800	58.0000		122	878
5900	59.0000		118	882
6000	60.0000		134	866
6100	61.0000		111	889
6200	62.0000		106	894
6300	63.0000		139	861
6400	64.0000		127	873
6500	65.0000		124	876
6600	66.0000		114	886
6700	67.0000		124	876
6800	68.0000		119	881
6900	69.0000		103	897
7000	70.0000		131	869
7100	71.0000		129	871
7200	72.0000		130	870
7300	73.0000		137	863
7400	74.0000		137	863
7500	75.0000		115	885
7600	76.0000		128	872
7700	77.0000		119	881
7800	78.0000		115	885
7900	79.0000		120	880
8000	80.0000		112	888
8100	81.0000		118	882
8200	82.0000		121	879
8300	83.0000		133	867
8400	84.0000		132	868
8500	85.0000		133	867
8600	86.0000		120	880
8700	87.0000		117	883
8800	88.0000		136	864
8900	89.0000		104	896
9000	90.0000		127	873
9100	91.0000		123	877
9200	92.0000		118	882
9300	93.0000		127	873
9400	94.0000		127	873
9500	95.0000		132	868
9600	96.0000		128	872
9700	97.0000		144	856
9800	98.0000		111	889
9900	99.0000		105	895
10000	100.0000		126	874
10100	101.0000		125	875
10200	102.0000		132	868
10300	103.0000		138	862
10400	104.0000		112	888
10500	105.0000		114	886
10600	106.0000		110	890
10700	107.0000		143	857
10800	108.0000		129	871
10900	109.0000		120	880
11000	110.0000		145	855
11100	111.0000		110	890
11200	112.0000		119	881
11300	113.0000		117	883
11400	114.0000		132	868
11500	115.0000		125	875
11600	116.0000		140	860
11700	117.0000		114	886
11800	118.0000		121	879
11900	119.0000		122	878
12000	120.0000		138	862
12100	121.0000		124	876
12200	122.0000		132	868
12300	123.0000		114	886
12400	124.0000		121	879
12500	125.0000		145	855
12600	126.0000		128	872
12700	127.0000		115	885
12800	128.0000		116	884
12900	129.0000		133	867
13000	130.0000		133	867
