# Creating system...
# System created with N=1000 particles

# Initial state:
# Susceptibles: 999, Infected: 1

# Starting simulation...
# Step	Time		S	I
0	0.0000		999	1
100	1.0000		870	130
200	2.0000		606	394
300	3.0000		194	806
400	4.0000		120	880
500	5.0000		122	878
600	6.0000		119	881
700	7.0000		118	882
800	8.0000		87	913
900	9.0000		121	879
1000	10.0000		120	880
1100	11.0000		138	862
1200	12.0000		123	877
1300	13.0000		106	894
1400	14.0000		117	883
1500	15.0000		120	880
1600	16.0000		115	885
1700	17.0000		137	863
1800	18.0000		118	882
1900	19.0000		147	853
2000	20.0000		108	892
2100	21.0000		116	884
2200	22.0000		114	886
2300	23.0000		120	880
2400	24.0000		121	879
2500	25.0000		124	876
2600	26.0000		140	860
2700	27.0000		136	864
2800	28.0000		102	898
2900	29.0000		137	863
3000	30.0000		116	884
3100	31.0000		116	884
3200	32.0000		120	880
3300	33.0000		108	892
3400	34.0000		148	852
3500	35.0000		131	869
3600	36.0000		124	876
3700	37.0000		113	887
3800	38.0000		130	870
3900	39.0000		119	881
4000	40.0000		138	862
4100	41.0000		127	873
4200	42.0000		131	869
4300	43.0000		121	879
4400	44.0000		117	883
4500	45.0000		152	848
4600	46.0000		127	873
4700	47.0000		117	883
4800	48.0000		118	882
4900	49.0000		118	882
5000	50.0000		116	884
5100	51.0000		128	872
5200	52.0000		118	882
5300	53.0000		143	857
5400	54.0000		102	898
5500	55.0000		124	876
5600	56.0000		119	881
5700	57.0000		108	892
5800	58.0000		147	853
5900	59.0000		133	867
6000	60.0000		101	899
6100	61.0000		136	864
6200	62.0000		106	894
6300	63.0000		140	860
6400	64.0000		122	878
6500	65.0000		124	876
6600	66.0000		124	876
6700	67.0000		133	867
6800	68.0000		100	900
6900	69.0000		130	870
7000	70.0000		125	875
7100	71.0000		134	866
7200	72.0000		124	876
7300	73.0000		131	869
7400	74.0000		109	891
7500	75.0000		123	877
7600	76.0000		122	878
7700	77.0000		124	876
7800	78.0000		148	852
7900	79.0000		135	865
8000	80.0000		108	892
8100	81.0000		109	891
8200	82.0000		117	883
8300	83.0000		141	859
8400	84.0000		130	870
8500	85.0000		151	849
8600	86.0000		137	863
8700	87.0000		112	888
8800	88.0000		123	877
8900	89.0000		127	873
9000	90.0000		118	882
9100	91.0000		112	888
9200	92.0000		135	865
9300	93.0000		149	851
9400	94.0000		105	895
9500	95.0000		111	889
9600	96.0000		130	870
9700	97.0000		148	852
9800	98.0000		108	892
9900	99.0000		130	870
10000	100.0000		100	900
10100	101.0000		132	868
10200	102.0000		125	875
10300	103.0000		117	883
10400	104.0000		140	860
10500	105.0000		135	865
10600	106.0000		123	877
10700	107.0000		133	867
10800	108.0000		132	868
10900	109.0000		124	876
11000	110.0000		127	873
11100	111.0000		119	881
11200	112.0000		146	854
11300	113.0000		135	865
11400	114.0000		144	856
11500	115.0000		112	888
11600	116.0000		119	881
11700	117.0000		129	871
11800	118.0000		138	862
11900	119.0000		108	892
12000	120.0000		144	856
12100	121.0000		140	860
12200	122.0000		113	887
12300	123.0000		130	870
12400	124.0000		137	863
12500	125.0000		115	885
12600	126.0000		115	885
12700	127.0000		117	883
12800	128.0000		114	886
12900	129.0000		121	879
13000	130.0000		123	877
13100	131.0000		127	873
13200	132.0000		136	864
13300	133.0000		120	880
13400	134.0000		114	886
13500	135.0000		126	874
13600	136.0000		110	890
13700	137.0000		127	873
13800	138.0000		139	861
13900	139.0000		130	870
14000	140.0000		136	864
14100	141.0000		139	861
14200	142.0000		132	868
14300	143.0000		133	867
14400	144.0000		122	878
14500	145.0000		113	887
14600	146.0000		137	863
14700	147.0000		117	883
14800	148.0000		124	876
14900	149.0000		115	885
15000	150.0000		120	880
15100	151.0000		112	888
15200	152.0000		106	894
15300	153.0000		140	860
15400	154.0000		131	869
15500	155.0000		134	866
15600	156.0000		119	881
15700	157.0000		111	889
15800	158.0000		122	878
15900	159.0000		108	892
16000	160.0000		125	875
16100	161.0000		137	863
16200	162.0000		119	881
16300	163.0000		133	867
16400	164.0000		109	891
16500	165.0000		109	891
16600	166.0000		125	875
16700	167.0000		119	881
16800	168.0000		117	883
16900	169.0000		113	887
17000	170.0000		124	876
17100	171.0000		117	883
17200	172.0000		137	863
17300	173.0000		103	897
17400	174.0000		112	888
17500	175.0000		107	893
17600	176.0000		135	865
17700	177.0000		113	887
17800	178.0000		95	905
17900	179.0000		109	891
18000	180.0000		98	902
18100	181.0000		118	882
18200	182.0000		129	871
18300	183.0000		119	881
18400	184.0000		126	874
18500	185.0000		116	884
18600	186.0000		139	861
18700	187.0000		120	880
18800	188.0000		137	863
18900	189.0000		141	859
19000	190.0000		137	863
19100	191.0000		135	865
19200	192.0000		122	878
19300	193.0000		123	877
19400	194.0000		120	880
19500	195.0000		116	884
19600	196.0000		110	890
19700	197.0000		128	872
19800	198.0000		120	880
19900	199.0000		124	876
20000	200.0000		140	860
20100	201.0000		118	882
20200	202.0000		142	858
20300	203.0000		123	877
20400	204.0000		121	879
20500	205.0000		127	873
20600	206.0000		124	876
20700	207.0000		124	876
20800	208.0000		129	871
20900	209.0000		136	864
21000	210.0000		129	871
21100	211.0000		116	884
21200	212.0000		112	888
21300	213.0000		114	886
