# Creating system...
# System created with N=1000 particles

# Initial state:
# Susceptibles: 999, Infected: 1

# Starting simulation...
# Step	Time		S	I
0	0.0000		999	1
100	1.0000		966	34
200	2.0000		734	266
300	3.0000		400	600
400	4.0000		118	882
500	5.0000		112	888
600	6.0000		127	873
700	7.0000		126	874
800	8.0000		111	889
900	9.0000		123	877
1000	10.0000		118	882
1100	11.0000		121	879
1200	12.0000		110	890
1300	13.0000		127	873
1400	14.0000		109	891
1500	15.0000		139	861
1600	16.0000		118	882
1700	17.0000		109	891
1800	18.0000		121	879
1900	19.0000		118	882
2000	20.0000		110	890
2100	21.0000		134	866
2200	22.0000		127	873
2300	23.0000		110	890
2400	24.0000		121	879
2500	25.0000		131	869
2600	26.0000		142	858
2700	27.0000		112	888
2800	28.0000		121	879
2900	29.0000		102	898
3000	30.0000		124	876
3100	31.0000		136	864
3200	32.0000		138	862
3300	33.0000		122	878
3400	34.0000		151	849
3500	35.0000		127	873
3600	36.0000		115	885
3700	37.0000		126	874
3800	38.0000		139	861
3900	39.0000		138	862
4000	40.0000		122	878
4100	41.0000		124	876
4200	42.0000		131	869
4300	43.0000		110	890
4400	44.0000		104	896
4500	45.0000		124	876
4600	46.0000		116	884
4700	47.0000		114	886
4800	48.0000		118	882
4900	49.0000		122	878
5000	50.0000		122	878
5100	51.0000		129	871
5200	52.0000		145	855
5300	53.0000		124	876
5400	54.0000		113	887
5500	55.0000		133	867
5600	56.0000		119	881
5700	57.0000		118	882
5800	58.0000		146	854
5900	59.0000		122	878
6000	60.0000		112	888
6100	61.0000		107	893
6200	62.0000		118	882
6300	63.0000		142	858
6400	64.0000		147	853
6500	65.0000		147	853
6600	66.0000		128	872
6700	67.0000		107	893
6800	68.0000		114	886
6900	69.0000		122	878
7000	70.0000		131	869
7100	71.0000		110	890
7200	72.0000		103	897
7300	73.0000		133	867
7400	74.0000		114	886
7500	75.0000		122	878
7600	76.0000		139	861
7700	77.0000		112	888
7800	78.0000		121	879
7900	79.0000		123	877
8000	80.0000		131	869
8100	81.0000		117	883
8200	82.0000		144	856
8300	83.0000		136	864
8400	84.0000		131	869
8500	85.0000		115	885
8600	86.0000		112	888
8700	87.0000		127	873
8800	88.0000		132	868
8900	89.0000		122	878
9000	90.0000		114	886
9100	91.0000		131	869
9200	92.0000		113	887
9300	93.0000		113	887
9400	94.0000		114	886
9500	95.0000		144	856
9600	96.0000		119	881
9700	97.0000		135	865
9800	98.0000		98	902
9900	99.0000		129	871
10000	100.0000		124	876
10100	101.0000		112	888
10200	102.0000		110	890
10300	103.0000		128	872
10400	104.0000		129	871
10500	105.0000		139	861
10600	106.0000		122	878
10700	107.0000		126	874
10800	108.0000		122	878
10900	109.0000		128	872
11000	110.0000		119	881
11100	111.0000		138	862
11200	112.0000		112	888
11300	113.0000		122	878
11400	114.0000		140	860
11500	115.0000		143	857
11600	116.0000		121	879
11700	117.0000		135	865
11800	118.0000		118	882
11900	119.0000		138	862
12000	120.0000		139	861
12100	121.0000		131	869
12200	122.0000		105	895
12300	123.0000		128	872
12400	124.0000		133	867
12500	125.0000		126	874
12600	126.0000		112	888
12700	127.0000		139	861
12800	128.0000		144	856
12900	129.0000		131	869
13000	130.0000		160	840
13100	131.0000		112	888
13200	132.0000		112	888
13300	133.0000		119	881
13400	134.0000		110	890
13500	135.0000		126	874
13600	136.0000		120	880
13700	137.0000		134	866
13800	138.0000		100	900
13900	139.0000		127	873
14000	140.0000		108	892
14100	141.0000		125	875
14200	142.0000		125	875
14300	143.0000		123	877
14400	144.0000		115	885
14500	145.0000		119	881
14600	146.0000		136	864
14700	147.0000		100	900
14800	148.0000		124	876
14900	149.0000		120	880
15000	150.0000		126	874
15100	151.0000		129	871
15200	152.0000		123	877
15300	153.0000		118	882
15400	154.0000		132	868
15500	155.0000		122	878
15600	156.0000		119	881
15700	157.0000		128	872
15800	158.0000		146	854
15900	159.0000		113	887
16000	160.0000		119	881
16100	161.0000		126	874
16200	162.0000		133	867
16300	163.0000		119	881
16400	164.0000		124	876
16500	165.0000		122	878
16600	166.0000		142	858
16700	167.0000		129	871
16800	168.0000		121	879
16900	169.0000		122	878
17000	170.0000		129	871
17100	171.0000		119	881
17200	172.0000		135	865
17300	173.0000		122	878
17400	174.0000		139	861
17500	175.0000		126	874
17600	176.0000		122	878
17700	177.0000		115	885
17800	178.0000		130	870
17900	179.0000		112	888
18000	180.0000		119	881
18100	181.0000		135	865
18200	182.0000		120	880
18300	183.0000		119	881
18400	184.0000		109	891
18500	185.0000		113	887
18600	186.0000		108	892
18700	187.0000		127	873
18800	188.0000		133	867
18900	189.0000		129	871
19000	190.0000		124	876
19100	191.0000		116	884
19200	192.0000		128	872
19300	193.0000		119	881
19400	194.0000		107	893
19500	195.0000		103	897
19600	196.0000		119	881
19700	197.0000		110	890
19800	198.0000		106	894
19900	199.0000		154	846
20000	200.0000		114	886
20100	201.0000		113	887
20200	202.0000		114	886
20300	203.0000		113	887
20400	204.0000		128	872
20500	205.0000		121	879
20600	206.0000		131	869
20700	207.0000		123	877
20800	208.0000		131	869
20900	209.0000		107	893
21000	210.0000		133	867
21100	211.0000		135	865
21200	212.0000		130	870
21300	213.0000		132	868
21400	214.0000		116	884
21500	215.0000		154	846
21600	216.0000		123	877
21700	217.0000		111	889
21800	218.0000		116	884
21900	219.0000		118	882
22000	220.0000		135	865
22100	221.0000		124	876
22200	222.0000		141	859
22300	223.0000		124	876
22400	224.0000		135	865
22500	225.0000		122	878
22600	226.0000		131	869
22700	227.0000		112	888
22800	228.0000		132	868
22900	229.0000		104	896
23000	230.0000		119	881
23100	231.0000		132	868
23200	232.0000		111	889
23300	233.0000		126	874
23400	234.0000		127	873
23500	235.0000		125	875
23600	236.0000		158	842
23700	237.0000		140	860
23800	238.0000		127	873
23900	239.0000		121	879
24000	240.0000		126	874
24100	241.0000		118	882
24200	242.0000		108	892
24300	243.0000		124	876
24400	244.0000		132	868
24500	245.0000		141	859
24600	246.0000		114	886
24700	247.0000		139	861
24800	248.0000		124	876
24900	249.0000		118	882
25000	250.0000		138	862
25100	251.0000		127	873
25200	252.0000		120	880
25300	253.0000		114	886
25400	254.0000		154	846
25500	255.0000		112	888
25600	256.0000		124	876
25700	257.0000		131	869
25800	258.0000		119	881
25900	259.0000		110	890
26000	260.0000		121	879
26100	261.0000		114	886
26200	262.0000		139	861
26300	263.0000		137	863
26400	264.0000		115	885
26500	265.0000		122	878
26600	266.0000		121	879
26700	267.0000		113	887
26800	268.0000		139	861
26900	269.0000		142	858
27000	270.0000		134	866
27100	271.0000		125	875
27200	272.0000		122	878
27300	273.0000		120	880
27400	274.0000		99	901
27500	275.0000		100	900
27600	276.0000		141	859
27700	277.0000		129	871
27800	278.0000		116	884
27900	279.0000		120	880
28000	280.0000		138	862
28100	281.0000		130	870
28200	282.0000		125	875
28300	283.0000		134	866
28400	284.0000		130	870
28500	285.0000		137	863
28600	286.0000		122	878
28700	287.0000		107	893
28800	288.0000		138	862
28900	289.0000		122	878
29000	290.0000		119	881
29100	291.0000		112	888
29200	292.0000		134	866
29300	293.0000		120	880
29400	294.0000		128	872
29500	295.0000		146	854
29600	296.0000		131	869
29700	297.0000		116	884
29800	298.0000		131	869
29900	299.0000		117	883
30000	300.0000		109	891
30100	301.0000		127	873
30200	302.0000		125	875
30300	303.0000		126	874
30400	304.0000		128	872
30500	305.0000		103	897
30600	306.0000		111	889
30700	307.0000		115	885
30800	308.0000		135	865
30900	309.0000		115	885
31000	310.0000		107	893
31100	311.0000		115	885
31200	312.0000		99	901
31300	313.0000		109	891
31400	314.0000		136	864
31500	315.0000		103	897
31600	316.0000		105	895
31700	317.0000		120	880
31800	318.0000		125	875
31900	319.0000		116	884
32000	320.0000		134	866
32100	321.0000		119	881
32200	322.0000		118	882
32300	323.0000		144	856
32400	324.0000		134	866
32500	325.0000		109	891
32600	326.0000		134	866
32700	327.0000		124	876
32800	328.0000		139	861
32900	329.0000		149	851
33000	330.0000		131	869
33100	331.0000		129	871
33200	332.0000		140	860
33300	333.0000		135	865
33400	334.0000		127	873
33500	335.0000		111	889
33600	336.0000		110	890
33700	337.0000		121	879
33800	338.0000		112	888
33900	339.0000		126	874
34000	340.0000		121	879
34100	341.0000		115	885
34200	342.0000		148	852
34300	343.0000		140	860
34400	344.0000		133	867
34500	345.0000		125	875
34600	346.0000		130	870
34700	347.0000		119	881
34800	348.0000		123	877
34900	349.0000		104	896
35000	350.0000		153	847
35100	351.0000		123	877
35200	352.0000		120	880
35300	353.0000		118	882
35400	354.0000		124	876
35500	355.0000		119	881
35600	356.0000		108	892
35700	357.0000		119	881
35800	358.0000		130	870
35900	359.0000		129	871
36000	360.0000		114	886
36100	361.0000		138	862
36200	362.0000		132	868
36300	363.0000		94	906
36400	364.0000		118	882
36500	365.0000		125	875
36600	366.0000		129	871
