# Step	Time	mean_S	stderr_S	mean_I	stderr_I
0	0.0000	999.000000	0.000000	1.000000	0.000000
100	1.0000	954.340000	6.072536	45.660000	6.072536
200	2.0000	782.680000	21.803366	217.320000	21.803366
300	3.0000	492.640000	43.542235	507.360000	43.542235
400	4.0000	345.000000	52.142543	655.000000	52.142543
500	5.0000	332.680000	53.057911	667.320000	53.057911
600	6.0000	333.640000	52.973614	666.360000	52.973614
700	7.0000	333.320000	52.999060	666.680000	52.999060
800	8.0000	334.140000	52.936732	665.860000	52.936732
900	9.0000	333.620000	52.972739	666.380000	52.972739
1000	10.0000	331.400000	53.152227	668.600000	53.152227
1100	11.0000	334.500000	52.903030	665.500000	52.903030
1200	12.0000	333.660000	52.967580	666.340000	52.967580
1300	13.0000	332.740000	53.043392	667.260000	53.043392
1400	14.0000	333.240000	53.008637	666.760000	53.008637
1500	15.0000	334.940000	52.870948	665.060000	52.870948
1600	16.0000	332.920000	53.032155	667.080000	53.032155
1700	17.0000	335.900000	52.794949	664.100000	52.794949
1800	18.0000	333.560000	52.982700	666.440000	52.982700
1900	19.0000	333.720000	52.972748	666.280000	52.972748
2000	20.0000	333.320000	53.002109	666.680000	53.002109
2100	21.0000	337.140000	52.694994	662.860000	52.694994
2200	22.0000	331.580000	53.131280	668.420000	53.131280
2300	23.0000	332.420000	53.066073	667.580000	53.066073
2400	24.0000	334.540000	52.901291	665.460000	52.901291
2500	25.0000	331.680000	53.131689	668.320000	53.131689
2600	26.0000	334.200000	52.929198	665.800000	52.929198
2700	27.0000	331.960000	53.107054	668.040000	53.107054
2800	28.0000	332.000000	53.107702	668.000000	53.107702
2900	29.0000	332.460000	53.077763	667.540000	53.077763
3000	30.0000	333.220000	53.012325	666.780000	53.012325
3100	31.0000	332.560000	53.055580	667.440000	53.055580
3200	32.0000	335.800000	52.800545	664.200000	52.800545
3300	33.0000	335.180000	52.848354	664.820000	52.848354
3400	34.0000	334.620000	52.902475	665.380000	52.902475
3500	35.0000	332.820000	53.033466	667.180000	53.033466
3600	36.0000	332.280000	53.079759	667.720000	53.079759
3700	37.0000	334.780000	52.886847	665.220000	52.886847
3800	38.0000	333.440000	52.992589	666.560000	52.992589
3900	39.0000	336.060000	52.777604	663.940000	52.777604
4000	40.0000	333.500000	52.985253	666.500000	52.985253
4100	41.0000	331.520000	53.137130	668.480000	53.137130
4200	42.0000	335.740000	52.807240	664.260000	52.807240
4300	43.0000	332.200000	53.087731	667.800000	53.087731
4400	44.0000	334.680000	52.885434	665.320000	52.885434
4500	45.0000	334.260000	52.923150	665.740000	52.923150
4600	46.0000	334.740000	52.883992	665.260000	52.883992
4700	47.0000	333.420000	52.988709	666.580000	52.988709
4800	48.0000	333.320000	53.004154	666.680000	53.004154
4900	49.0000	334.060000	52.944827	665.940000	52.944827
5000	50.0000	333.540000	52.979583	666.460000	52.979583
5100	51.0000	333.240000	53.005347	666.760000	53.005347
5200	52.0000	335.000000	52.864741	665.000000	52.864741
5300	53.0000	334.540000	52.903287	665.460000	52.903287
5400	54.0000	331.520000	53.139629	668.480000	53.139629
5500	55.0000	335.460000	52.824693	664.540000	52.824693
5600	56.0000	336.560000	52.746148	663.440000	52.746148
5700	57.0000	333.960000	52.948125	666.040000	52.948125
5800	58.0000	335.100000	52.860603	664.900000	52.860603
5900	59.0000	335.340000	52.842435	664.660000	52.842435
6000	60.0000	336.000000	52.794068	664.000000	52.794068
6100	61.0000	334.720000	52.892495	665.280000	52.892495
6200	62.0000	334.540000	52.904769	665.460000	52.904769
6300	63.0000	337.560000	52.661532	662.440000	52.661532
6400	64.0000	335.100000	52.856449	664.900000	52.856449
6500	65.0000	333.120000	53.015867	666.880000	53.015867
6600	66.0000	332.640000	53.047532	667.360000	53.047532
6700	67.0000	336.000000	52.783816	664.000000	52.783816
6800	68.0000	332.040000	53.097412	667.960000	53.097412
6900	69.0000	332.640000	53.050925	667.360000	53.050925
7000	70.0000	335.260000	52.843655	664.740000	52.843655
7100	71.0000	336.040000	52.795643	663.960000	52.795643
7200	72.0000	332.300000	53.083122	667.700000	53.083122
7300	73.0000	334.440000	52.914725	665.560000	52.914725
7400	74.0000	333.200000	53.014738	666.800000	53.014738
7500	75.0000	336.100000	52.778672	663.900000	52.778672
7600	76.0000	335.300000	52.845528	664.700000	52.845528
7700	77.0000	335.000000	52.865906	665.000000	52.865906
7800	78.0000	336.000000	52.783945	664.000000	52.783945
7900	79.0000	333.400000	52.990339	666.600000	52.990339
8000	80.0000	334.740000	52.895911	665.260000	52.895911
8100	81.0000	332.220000	53.089828	667.780000	53.089828
