# Creating system...
# System created with N=1000 particles

# Initial state:
# Susceptibles: 999, Infected: 1

# Starting simulation...
# Step	Time		S	I
0	0.0000		999	1
10	0.1000		999	1
20	0.2000		997	3
30	0.3000		992	8
40	0.4000		985	15
50	0.5000		975	25
60	0.6000		960	40
70	0.7000		943	57
80	0.8000		935	65
90	0.9000		913	87
100	1.0000		890	110
110	1.1000		876	124
120	1.2000		849	151
130	1.3000		820	180
140	1.4000		806	194
150	1.5000		779	221
160	1.6000		742	258
170	1.7000		717	283
180	1.8000		672	328
190	1.9000		637	363
200	2.0000		608	392
210	2.1000		582	418
220	2.2000		557	443
230	2.3000		543	457
240	2.4000		510	490
250	2.5000		439	561
260	2.6000		402	598
270	2.7000		360	640
280	2.8000		328	672
290	2.9000		282	718
300	3.0000		249	751
310	3.1000		240	760
320	3.2000		204	796
330	3.3000		175	825
340	3.4000		160	840
350	3.5000		153	847
360	3.6000		156	844
370	3.7000		140	860
380	3.8000		144	856
390	3.9000		134	866
400	4.0000		137	863
410	4.1000		137	863
420	4.2000		147	853
430	4.3000		146	854
440	4.4000		138	862
450	4.5000		121	879
460	4.6000		125	875
470	4.7000		130	870
480	4.8000		126	874
490	4.9000		126	874
500	5.0000		124	876
510	5.1000		106	894
520	5.2000		114	886
530	5.3000		122	878
540	5.4000		123	877
550	5.5000		129	871
560	5.6000		130	870
570	5.7000		126	874
580	5.8000		114	886
590	5.9000		107	893
600	6.0000		126	874
610	6.1000		123	877
620	6.2000		113	887
630	6.3000		130	870
640	6.4000		127	873
650	6.5000		106	894
660	6.6000		115	885
670	6.7000		122	878
680	6.8000		119	881
690	6.9000		127	873
700	7.0000		134	866
710	7.1000		131	869
720	7.2000		138	862
730	7.3000		137	863
740	7.4000		153	847
750	7.5000		138	862
760	7.6000		118	882
770	7.7000		105	895
780	7.8000		115	885
790	7.9000		117	883
800	8.0000		120	880
810	8.1000		125	875
820	8.2000		113	887
830	8.3000		111	889
840	8.4000		112	888
850	8.5000		123	877
860	8.6000		117	883
870	8.7000		132	868
880	8.8000		124	876
890	8.9000		131	869
900	9.0000		124	876
910	9.1000		113	887
920	9.2000		121	879
930	9.3000		145	855
940	9.4000		119	881
950	9.5000		121	879
960	9.6000		141	859
970	9.7000		143	857
980	9.8000		140	860
990	9.9000		130	870
1000	10.0000		125	875
1010	10.1000		130	870
1020	10.2000		120	880
1030	10.3000		105	895
1040	10.4000		105	895
1050	10.5000		97	903
1060	10.6000		119	881
1070	10.7000		111	889
1080	10.8000		108	892
1090	10.9000		127	873
1100	11.0000		126	874
1110	11.1000		121	879
1120	11.2000		117	883
1130	11.3000		122	878
1140	11.4000		125	875
1150	11.5000		115	885
1160	11.6000		132	868
1170	11.7000		136	864
1180	11.8000		127	873
1190	11.9000		117	883
1200	12.0000		120	880
1210	12.1000		130	870
1220	12.2000		121	879
1230	12.3000		110	890
1240	12.4000		120	880
1250	12.5000		126	874
1260	12.6000		115	885
1270	12.7000		134	866
1280	12.8000		147	853
1290	12.9000		162	838
1300	13.0000		123	877
1310	13.1000		112	888
1320	13.2000		125	875
1330	13.3000		126	874
1340	13.4000		119	881
1350	13.5000		124	876
1360	13.6000		132	868
1370	13.7000		105	895
1380	13.8000		107	893
1390	13.9000		120	880
1400	14.0000		106	894
1410	14.1000		109	891
1420	14.2000		111	889
1430	14.3000		113	887
1440	14.4000		115	885
1450	14.5000		116	884
1460	14.6000		139	861
1470	14.7000		130	870
1480	14.8000		122	878
1490	14.9000		111	889
1500	15.0000		117	883
1510	15.1000		115	885
1520	15.2000		113	887
1530	15.3000		117	883
1540	15.4000		115	885
1550	15.5000		118	882
1560	15.6000		129	871
1570	15.7000		130	870
1580	15.8000		123	877
1590	15.9000		126	874
1600	16.0000		126	874
1610	16.1000		135	865
1620	16.2000		128	872
1630	16.3000		150	850
1640	16.4000		134	866
1650	16.5000		150	850
1660	16.6000		143	857
1670	16.7000		131	869
1680	16.8000		124	876
1690	16.9000		129	871
1700	17.0000		118	882
1710	17.1000		123	877
1720	17.2000		130	870
1730	17.3000		130	870
1740	17.4000		144	856
1750	17.5000		147	853
1760	17.6000		128	872
1770	17.7000		139	861
1780	17.8000		125	875
1790	17.9000		106	894
1800	18.0000		120	880
1810	18.1000		123	877
1820	18.2000		120	880
1830	18.3000		133	867
1840	18.4000		139	861
1850	18.5000		132	868
1860	18.6000		121	879
1870	18.7000		123	877
1880	18.8000		126	874
1890	18.9000		119	881
1900	19.0000		129	871
1910	19.1000		124	876
1920	19.2000		133	867
1930	19.3000		128	872
1940	19.4000		131	869
1950	19.5000		124	876
1960	19.6000		116	884
1970	19.7000		121	879
1980	19.8000		109	891
1990	19.9000		117	883
2000	20.0000		110	890
2010	20.1000		102	898
2020	20.2000		107	893
2030	20.3000		132	868
2040	20.4000		119	881
2050	20.5000		103	897
2060	20.6000		107	893
2070	20.7000		110	890
2080	20.8000		102	898
2090	20.9000		107	893
2100	21.0000		116	884
2110	21.1000		107	893
2120	21.2000		103	897
2130	21.3000		111	889
2140	21.4000		135	865
2150	21.5000		123	877
2160	21.6000		141	859
2170	21.7000		141	859
2180	21.8000		146	854
2190	21.9000		130	870
2200	22.0000		131	869
2210	22.1000		126	874
2220	22.2000		109	891
2230	22.3000		130	870
2240	22.4000		126	874
2250	22.5000		139	861
2260	22.6000		135	865
2270	22.7000		115	885
2280	22.8000		113	887
2290	22.9000		132	868
2300	23.0000		120	880
2310	23.1000		125	875
2320	23.2000		117	883
2330	23.3000		112	888
2340	23.4000		104	896
2350	23.5000		108	892
2360	23.6000		108	892
2370	23.7000		110	890
2380	23.8000		129	871
2390	23.9000		119	881
2400	24.0000		114	886
2410	24.1000		116	884
2420	24.2000		128	872
2430	24.3000		121	879
2440	24.4000		119	881
2450	24.5000		118	882
2460	24.6000		126	874
2470	24.7000		141	859
2480	24.8000		126	874
2490	24.9000		139	861
2500	25.0000		136	864
2510	25.1000		137	863
2520	25.2000		115	885
2530	25.3000		115	885
2540	25.4000		137	863
2550	25.5000		139	861
2560	25.6000		128	872
2570	25.7000		141	859
2580	25.8000		140	860
2590	25.9000		147	853
2600	26.0000		137	863
2610	26.1000		144	856
2620	26.2000		159	841
2630	26.3000		144	856
2640	26.4000		140	860
2650	26.5000		133	867
2660	26.6000		113	887
2670	26.7000		121	879
2680	26.8000		123	877
2690	26.9000		120	880
2700	27.0000		122	878
2710	27.1000		119	881
2720	27.2000		121	879
2730	27.3000		113	887
2740	27.4000		122	878
2750	27.5000		102	898
2760	27.6000		118	882
2770	27.7000		115	885
2780	27.8000		118	882
2790	27.9000		134	866
2800	28.0000		127	873
2810	28.1000		129	871
2820	28.2000		142	858
2830	28.3000		123	877
2840	28.4000		123	877
2850	28.5000		116	884
2860	28.6000		117	883
2870	28.7000		126	874
2880	28.8000		132	868
2890	28.9000		131	869
2900	29.0000		118	882
2910	29.1000		108	892
2920	29.2000		138	862
2930	29.3000		142	858
2940	29.4000		139	861
2950	29.5000		111	889
2960	29.6000		135	865
2970	29.7000		151	849
2980	29.8000		137	863
2990	29.9000		115	885
3000	30.0000		121	879
3010	30.1000		118	882
3020	30.2000		120	880
3030	30.3000		136	864
3040	30.4000		136	864
3050	30.5000		136	864
3060	30.6000		123	877
3070	30.7000		140	860
3080	30.8000		124	876
3090	30.9000		120	880
3100	31.0000		132	868
3110	31.1000		112	888
3120	31.2000		114	886
3130	31.3000		126	874
3140	31.4000		102	898
3150	31.5000		109	891
3160	31.6000		115	885
3170	31.7000		123	877
3180	31.8000		109	891
3190	31.9000		129	871
3200	32.0000		133	867
3210	32.1000		148	852
3220	32.2000		141	859
3230	32.3000		139	861
3240	32.4000		137	863
3250	32.5000		133	867
3260	32.6000		117	883
3270	32.7000		122	878
3280	32.8000		123	877
3290	32.9000		119	881
3300	33.0000		129	871
3310	33.1000		128	872
3320	33.2000		117	883
3330	33.3000		95	905
3340	33.4000		90	910
3350	33.5000		110	890
3360	33.6000		122	878
3370	33.7000		127	873
3380	33.8000		121	879
3390	33.9000		122	878
3400	34.0000		130	870
3410	34.1000		121	879
3420	34.2000		126	874
3430	34.3000		142	858
3440	34.4000		147	853
3450	34.5000		146	854
3460	34.6000		135	865
3470	34.7000		137	863
3480	34.8000		129	871
3490	34.9000		131	869
3500	35.0000		135	865
3510	35.1000		137	863
3520	35.2000		135	865
3530	35.3000		122	878
3540	35.4000		127	873
3550	35.5000		120	880
3560	35.6000		139	861
3570	35.7000		136	864
3580	35.8000		122	878
3590	35.9000		118	882
3600	36.0000		120	880
3610	36.1000		117	883
3620	36.2000		116	884
3630	36.3000		126	874
3640	36.4000		127	873
3650	36.5000		120	880
3660	36.6000		136	864
3670	36.7000		134	866
3680	36.8000		117	883
3690	36.9000		134	866
3700	37.0000		125	875
3710	37.1000		140	860
3720	37.2000		130	870
3730	37.3000		133	867
3740	37.4000		132	868
3750	37.5000		130	870
3760	37.6000		117	883
3770	37.7000		117	883
3780	37.8000		118	882
3790	37.9000		125	875
3800	38.0000		120	880
3810	38.1000		105	895
3820	38.2000		111	889
3830	38.3000		118	882
3840	38.4000		122	878
3850	38.5000		142	858
3860	38.6000		124	876
3870	38.7000		119	881
3880	38.8000		140	860
3890	38.9000		136	864
3900	39.0000		135	865
3910	39.1000		136	864
3920	39.2000		132	868
3930	39.3000		136	864
3940	39.4000		125	875
3950	39.5000		118	882
3960	39.6000		124	876
3970	39.7000		114	886
3980	39.8000		122	878
3990	39.9000		136	864
4000	40.0000		143	857
4010	40.1000		146	854
4020	40.2000		119	881
4030	40.3000		124	876
4040	40.4000		120	880
4050	40.5000		106	894
4060	40.6000		132	868
4070	40.7000		141	859
4080	40.8000		133	867
4090	40.9000		123	877
4100	41.0000		113	887
4110	41.1000		126	874
4120	41.2000		138	862
4130	41.3000		132	868
4140	41.4000		125	875
4150	41.5000		110	890
4160	41.6000		113	887
4170	41.7000		139	861
4180	41.8000		120	880
4190	41.9000		131	869
4200	42.0000		136	864
4210	42.1000		137	863
4220	42.2000		117	883
4230	42.3000		137	863
4240	42.4000		133	867
4250	42.5000		125	875
4260	42.6000		125	875
4270	42.7000		116	884
4280	42.8000		124	876
4290	42.9000		114	886
4300	43.0000		128	872
4310	43.1000		123	877
4320	43.2000		124	876
4330	43.3000		137	863
4340	43.4000		110	890
4350	43.5000		114	886
4360	43.6000		123	877
4370	43.7000		109	891
4380	43.8000		120	880
4390	43.9000		135	865
4400	44.0000		112	888
4410	44.1000		126	874
4420	44.2000		139	861
4430	44.3000		129	871
4440	44.4000		111	889
4450	44.5000		122	878
4460	44.6000		117	883
4470	44.7000		130	870
