# Creating system...
# System created with N=1000 particles

# Initial state:
# Susceptibles: 999, Infected: 1

# Starting simulation...
# Step	Time		S	I
0	0.0000		999	1
10	0.1000		999	1
20	0.2000		998	2
30	0.3000		996	4
40	0.4000		997	3
50	0.5000		997	3
60	0.6000		992	8
70	0.7000		987	13
80	0.8000		980	20
90	0.9000		977	23
100	1.0000		971	29
110	1.1000		967	33
120	1.2000		950	50
130	1.3000		921	79
140	1.4000		892	108
150	1.5000		867	133
160	1.6000		846	154
170	1.7000		823	177
180	1.8000		806	194
190	1.9000		783	217
200	2.0000		787	213
210	2.1000		746	254
220	2.2000		716	284
230	2.3000		674	326
240	2.4000		636	364
250	2.5000		593	407
260	2.6000		561	439
270	2.7000		530	470
280	2.8000		508	492
290	2.9000		475	525
300	3.0000		421	579
310	3.1000		394	606
320	3.2000		343	657
330	3.3000		291	709
340	3.4000		277	723
350	3.5000		216	784
360	3.6000		214	786
370	3.7000		182	818
380	3.8000		140	860
390	3.9000		142	858
400	4.0000		143	857
410	4.1000		133	867
420	4.2000		121	879
430	4.3000		123	877
440	4.4000		117	883
450	4.5000		128	872
460	4.6000		123	877
470	4.7000		123	877
480	4.8000		130	870
490	4.9000		131	869
500	5.0000		119	881
510	5.1000		131	869
520	5.2000		112	888
530	5.3000		118	882
540	5.4000		120	880
550	5.5000		131	869
560	5.6000		123	877
570	5.7000		115	885
580	5.8000		115	885
590	5.9000		128	872
600	6.0000		133	867
610	6.1000		144	856
620	6.2000		118	882
630	6.3000		120	880
640	6.4000		129	871
650	6.5000		132	868
660	6.6000		128	872
670	6.7000		149	851
680	6.8000		138	862
690	6.9000		122	878
700	7.0000		123	877
710	7.1000		129	871
720	7.2000		139	861
730	7.3000		123	877
740	7.4000		134	866
750	7.5000		133	867
760	7.6000		130	870
770	7.7000		129	871
780	7.8000		132	868
790	7.9000		116	884
800	8.0000		128	872
810	8.1000		134	866
820	8.2000		129	871
830	8.3000		113	887
840	8.4000		102	898
850	8.5000		120	880
860	8.6000		116	884
870	8.7000		116	884
880	8.8000		122	878
890	8.9000		134	866
900	9.0000		126	874
910	9.1000		113	887
920	9.2000		118	882
930	9.3000		156	844
940	9.4000		134	866
950	9.5000		125	875
960	9.6000		115	885
970	9.7000		117	883
980	9.8000		121	879
990	9.9000		114	886
1000	10.0000		108	892
1010	10.1000		115	885
1020	10.2000		114	886
1030	10.3000		116	884
1040	10.4000		122	878
1050	10.5000		130	870
1060	10.6000		135	865
1070	10.7000		146	854
1080	10.8000		134	866
1090	10.9000		130	870
1100	11.0000		119	881
1110	11.1000		123	877
1120	11.2000		115	885
1130	11.3000		127	873
1140	11.4000		119	881
1150	11.5000		130	870
1160	11.6000		123	877
1170	11.7000		124	876
1180	11.8000		128	872
1190	11.9000		126	874
1200	12.0000		114	886
1210	12.1000		107	893
1220	12.2000		119	881
1230	12.3000		132	868
1240	12.4000		119	881
1250	12.5000		135	865
1260	12.6000		146	854
1270	12.7000		125	875
1280	12.8000		122	878
1290	12.9000		144	856
1300	13.0000		136	864
1310	13.1000		132	868
1320	13.2000		110	890
1330	13.3000		122	878
1340	13.4000		121	879
1350	13.5000		111	889
1360	13.6000		124	876
1370	13.7000		105	895
1380	13.8000		117	883
1390	13.9000		111	889
1400	14.0000		110	890
1410	14.1000		121	879
1420	14.2000		108	892
1430	14.3000		115	885
1440	14.4000		111	889
1450	14.5000		121	879
1460	14.6000		105	895
1470	14.7000		101	899
1480	14.8000		113	887
1490	14.9000		119	881
1500	15.0000		113	887
1510	15.1000		104	896
1520	15.2000		101	899
1530	15.3000		113	887
1540	15.4000		117	883
1550	15.5000		134	866
1560	15.6000		136	864
1570	15.7000		128	872
1580	15.8000		127	873
1590	15.9000		116	884
1600	16.0000		109	891
1610	16.1000		100	900
1620	16.2000		116	884
1630	16.3000		118	882
1640	16.4000		110	890
1650	16.5000		118	882
1660	16.6000		120	880
1670	16.7000		142	858
1680	16.8000		133	867
1690	16.9000		114	886
1700	17.0000		130	870
1710	17.1000		117	883
1720	17.2000		115	885
1730	17.3000		149	851
1740	17.4000		143	857
1750	17.5000		129	871
1760	17.6000		136	864
1770	17.7000		134	866
1780	17.8000		126	874
1790	17.9000		132	868
1800	18.0000		119	881
1810	18.1000		123	877
1820	18.2000		121	879
1830	18.3000		128	872
1840	18.4000		116	884
1850	18.5000		118	882
1860	18.6000		133	867
1870	18.7000		130	870
1880	18.8000		117	883
1890	18.9000		132	868
1900	19.0000		129	871
1910	19.1000		123	877
1920	19.2000		146	854
1930	19.3000		135	865
1940	19.4000		120	880
1950	19.5000		103	897
1960	19.6000		131	869
1970	19.7000		118	882
1980	19.8000		112	888
1990	19.9000		116	884
2000	20.0000		127	873
2010	20.1000		116	884
2020	20.2000		116	884
2030	20.3000		110	890
2040	20.4000		114	886
2050	20.5000		118	882
2060	20.6000		117	883
2070	20.7000		100	900
2080	20.8000		105	895
2090	20.9000		123	877
2100	21.0000		129	871
2110	21.1000		123	877
2120	21.2000		107	893
2130	21.3000		121	879
2140	21.4000		130	870
2150	21.5000		127	873
2160	21.6000		132	868
2170	21.7000		125	875
2180	21.8000		123	877
2190	21.9000		122	878
2200	22.0000		129	871
2210	22.1000		122	878
2220	22.2000		123	877
2230	22.3000		118	882
2240	22.4000		124	876
2250	22.5000		130	870
2260	22.6000		121	879
2270	22.7000		120	880
2280	22.8000		113	887
2290	22.9000		129	871
2300	23.0000		118	882
2310	23.1000		131	869
2320	23.2000		118	882
2330	23.3000		128	872
2340	23.4000		133	867
2350	23.5000		106	894
2360	23.6000		116	884
2370	23.7000		105	895
2380	23.8000		123	877
2390	23.9000		137	863
2400	24.0000		126	874
2410	24.1000		137	863
2420	24.2000		128	872
2430	24.3000		116	884
2440	24.4000		113	887
2450	24.5000		119	881
2460	24.6000		116	884
2470	24.7000		131	869
2480	24.8000		121	879
2490	24.9000		131	869
2500	25.0000		127	873
2510	25.1000		138	862
2520	25.2000		126	874
2530	25.3000		130	870
2540	25.4000		145	855
2550	25.5000		135	865
2560	25.6000		134	866
2570	25.7000		137	863
2580	25.8000		117	883
2590	25.9000		126	874
2600	26.0000		123	877
2610	26.1000		123	877
2620	26.2000		120	880
2630	26.3000		124	876
2640	26.4000		129	871
2650	26.5000		137	863
2660	26.6000		136	864
2670	26.7000		123	877
2680	26.8000		118	882
2690	26.9000		122	878
2700	27.0000		120	880
2710	27.1000		120	880
2720	27.2000		117	883
2730	27.3000		115	885
2740	27.4000		120	880
2750	27.5000		112	888
2760	27.6000		107	893
2770	27.7000		98	902
2780	27.8000		109	891
2790	27.9000		108	892
2800	28.0000		100	900
2810	28.1000		112	888
2820	28.2000		115	885
2830	28.3000		113	887
2840	28.4000		129	871
2850	28.5000		118	882
2860	28.6000		120	880
2870	28.7000		129	871
2880	28.8000		115	885
2890	28.9000		118	882
2900	29.0000		107	893
2910	29.1000		130	870
2920	29.2000		116	884
2930	29.3000		116	884
2940	29.4000		106	894
2950	29.5000		104	896
2960	29.6000		113	887
2970	29.7000		101	899
2980	29.8000		98	902
2990	29.9000		115	885
3000	30.0000		115	885
3010	30.1000		112	888
3020	30.2000		112	888
3030	30.3000		123	877
3040	30.4000		120	880
3050	30.5000		123	877
3060	30.6000		115	885
3070	30.7000		112	888
3080	30.8000		119	881
3090	30.9000		111	889
3100	31.0000		120	880
3110	31.1000		112	888
3120	31.2000		127	873
3130	31.3000		127	873
3140	31.4000		124	876
3150	31.5000		140	860
3160	31.6000		138	862
3170	31.7000		134	866
3180	31.8000		130	870
3190	31.9000		134	866
3200	32.0000		132	868
3210	32.1000		144	856
3220	32.2000		136	864
3230	32.3000		121	879
3240	32.4000		117	883
3250	32.5000		122	878
3260	32.6000		116	884
3270	32.7000		114	886
3280	32.8000		127	873
3290	32.9000		127	873
3300	33.0000		139	861
3310	33.1000		152	848
3320	33.2000		137	863
3330	33.3000		146	854
3340	33.4000		144	856
3350	33.5000		148	852
3360	33.6000		132	868
3370	33.7000		139	861
3380	33.8000		135	865
3390	33.9000		126	874
3400	34.0000		130	870
3410	34.1000		132	868
3420	34.2000		134	866
3430	34.3000		122	878
3440	34.4000		127	873
3450	34.5000		116	884
3460	34.6000		123	877
3470	34.7000		114	886
3480	34.8000		111	889
3490	34.9000		103	897
3500	35.0000		111	889
3510	35.1000		119	881
3520	35.2000		129	871
3530	35.3000		121	879
3540	35.4000		116	884
3550	35.5000		122	878
3560	35.6000		119	881
3570	35.7000		135	865
3580	35.8000		145	855
3590	35.9000		143	857
3600	36.0000		168	832
3610	36.1000		156	844
3620	36.2000		147	853
3630	36.3000		142	858
3640	36.4000		152	848
3650	36.5000		144	856
3660	36.6000		125	875
3670	36.7000		114	886
3680	36.8000		126	874
3690	36.9000		129	871
3700	37.0000		128	872
3710	37.1000		115	885
3720	37.2000		123	877
3730	37.3000		117	883
3740	37.4000		116	884
3750	37.5000		123	877
3760	37.6000		134	866
3770	37.7000		135	865
3780	37.8000		143	857
3790	37.9000		146	854
3800	38.0000		140	860
3810	38.1000		134	866
3820	38.2000		125	875
3830	38.3000		115	885
3840	38.4000		117	883
3850	38.5000		123	877
3860	38.6000		116	884
3870	38.7000		119	881
3880	38.8000		120	880
3890	38.9000		130	870
3900	39.0000		124	876
3910	39.1000		128	872
3920	39.2000		125	875
3930	39.3000		114	886
3940	39.4000		133	867
3950	39.5000		121	879
3960	39.6000		118	882
3970	39.7000		117	883
3980	39.8000		118	882
3990	39.9000		98	902
4000	40.0000		111	889
4010	40.1000		117	883
4020	40.2000		128	872
4030	40.3000		114	886
4040	40.4000		111	889
4050	40.5000		112	888
4060	40.6000		120	880
4070	40.7000		129	871
4080	40.8000		113	887
4090	40.9000		138	862
4100	41.0000		114	886
4110	41.1000		96	904
4120	41.2000		114	886
4130	41.3000		117	883
4140	41.4000		121	879
4150	41.5000		118	882
4160	41.6000		128	872
4170	41.7000		143	857
4180	41.8000		139	861
4190	41.9000		140	860
4200	42.0000		127	873
4210	42.1000		121	879
4220	42.2000		122	878
4230	42.3000		117	883
4240	42.4000		108	892
4250	42.5000		117	883
4260	42.6000		129	871
4270	42.7000		131	869
4280	42.8000		125	875
4290	42.9000		118	882
4300	43.0000		112	888
4310	43.1000		117	883
4320	43.2000		126	874
4330	43.3000		121	879
4340	43.4000		110	890
4350	43.5000		123	877
4360	43.6000		126	874
4370	43.7000		122	878
4380	43.8000		106	894
4390	43.9000		113	887
4400	44.0000		133	867
4410	44.1000		131	869
4420	44.2000		128	872
4430	44.3000		136	864
4440	44.4000		134	866
4450	44.5000		143	857
4460	44.6000		123	877
4470	44.7000		130	870
