# Creating system...
# System created with N=1000 particles

# Initial state:
# Susceptibles: 999, Infected: 1

# Starting simulation...
# Step	Time		S	I
0	0.0000		999	1
10	0.1000		999	1
20	0.2000		998	2
30	0.3000		998	2
40	0.4000		996	4
50	0.5000		994	6
60	0.6000		993	7
70	0.7000		991	9
80	0.8000		993	7
90	0.9000		992	8
100	1.0000		990	10
110	1.1000		988	12
120	1.2000		982	18
130	1.3000		977	23
140	1.4000		975	25
150	1.5000		971	29
160	1.6000		970	30
170	1.7000		966	34
180	1.8000		954	46
190	1.9000		943	57
200	2.0000		922	78
210	2.1000		899	101
220	2.2000		888	112
230	2.3000		853	147
240	2.4000		810	190
250	2.5000		784	216
260	2.6000		761	239
270	2.7000		731	269
280	2.8000		694	306
290	2.9000		652	348
300	3.0000		614	386
310	3.1000		571	429
320	3.2000		498	502
330	3.3000		455	545
340	3.4000		401	599
350	3.5000		364	636
360	3.6000		341	659
370	3.7000		296	704
380	3.8000		274	726
390	3.9000		253	747
400	4.0000		223	777
410	4.1000		209	791
420	4.2000		171	829
430	4.3000		154	846
440	4.4000		137	863
450	4.5000		126	874
460	4.6000		108	892
470	4.7000		124	876
480	4.8000		130	870
490	4.9000		131	869
500	5.0000		126	874
510	5.1000		135	865
520	5.2000		151	849
530	5.3000		126	874
540	5.4000		125	875
550	5.5000		120	880
560	5.6000		137	863
570	5.7000		142	858
580	5.8000		124	876
590	5.9000		120	880
600	6.0000		113	887
610	6.1000		131	869
620	6.2000		140	860
630	6.3000		117	883
640	6.4000		116	884
650	6.5000		102	898
660	6.6000		122	878
670	6.7000		122	878
680	6.8000		112	888
690	6.9000		122	878
700	7.0000		142	858
710	7.1000		146	854
720	7.2000		155	845
730	7.3000		137	863
740	7.4000		117	883
750	7.5000		128	872
760	7.6000		131	869
770	7.7000		124	876
780	7.8000		132	868
790	7.9000		101	899
800	8.0000		124	876
810	8.1000		119	881
820	8.2000		128	872
830	8.3000		124	876
840	8.4000		120	880
850	8.5000		130	870
860	8.6000		110	890
870	8.7000		122	878
880	8.8000		111	889
890	8.9000		118	882
900	9.0000		120	880
910	9.1000		115	885
920	9.2000		127	873
930	9.3000		120	880
940	9.4000		139	861
950	9.5000		134	866
960	9.6000		131	869
970	9.7000		128	872
980	9.8000		123	877
990	9.9000		121	879
1000	10.0000		139	861
1010	10.1000		129	871
1020	10.2000		126	874
1030	10.3000		125	875
1040	10.4000		111	889
1050	10.5000		119	881
1060	10.6000		134	866
1070	10.7000		111	889
1080	10.8000		110	890
1090	10.9000		119	881
1100	11.0000		125	875
1110	11.1000		131	869
1120	11.2000		140	860
1130	11.3000		140	860
1140	11.4000		120	880
1150	11.5000		128	872
1160	11.6000		120	880
1170	11.7000		131	869
1180	11.8000		127	873
1190	11.9000		126	874
1200	12.0000		123	877
1210	12.1000		124	876
1220	12.2000		116	884
1230	12.3000		124	876
1240	12.4000		128	872
1250	12.5000		110	890
1260	12.6000		126	874
1270	12.7000		125	875
1280	12.8000		126	874
1290	12.9000		112	888
1300	13.0000		114	886
1310	13.1000		115	885
1320	13.2000		127	873
1330	13.3000		132	868
1340	13.4000		140	860
1350	13.5000		116	884
1360	13.6000		130	870
1370	13.7000		122	878
1380	13.8000		131	869
1390	13.9000		121	879
1400	14.0000		134	866
1410	14.1000		129	871
1420	14.2000		115	885
1430	14.3000		114	886
1440	14.4000		110	890
1450	14.5000		126	874
1460	14.6000		108	892
1470	14.7000		110	890
1480	14.8000		140	860
1490	14.9000		127	873
1500	15.0000		114	886
1510	15.1000		122	878
1520	15.2000		137	863
1530	15.3000		137	863
1540	15.4000		137	863
1550	15.5000		117	883
1560	15.6000		125	875
1570	15.7000		113	887
1580	15.8000		124	876
1590	15.9000		126	874
1600	16.0000		108	892
1610	16.1000		121	879
1620	16.2000		124	876
1630	16.3000		116	884
1640	16.4000		127	873
1650	16.5000		107	893
1660	16.6000		122	878
1670	16.7000		114	886
1680	16.8000		108	892
1690	16.9000		113	887
1700	17.0000		125	875
1710	17.1000		123	877
1720	17.2000		118	882
1730	17.3000		113	887
1740	17.4000		114	886
1750	17.5000		112	888
1760	17.6000		113	887
1770	17.7000		103	897
1780	17.8000		135	865
1790	17.9000		122	878
1800	18.0000		114	886
1810	18.1000		118	882
1820	18.2000		131	869
1830	18.3000		166	834
1840	18.4000		168	832
1850	18.5000		146	854
1860	18.6000		144	856
1870	18.7000		112	888
1880	18.8000		117	883
1890	18.9000		129	871
1900	19.0000		120	880
1910	19.1000		147	853
1920	19.2000		126	874
1930	19.3000		116	884
1940	19.4000		127	873
1950	19.5000		113	887
1960	19.6000		128	872
1970	19.7000		117	883
1980	19.8000		111	889
1990	19.9000		105	895
2000	20.0000		106	894
2010	20.1000		101	899
2020	20.2000		116	884
2030	20.3000		142	858
2040	20.4000		154	846
2050	20.5000		134	866
2060	20.6000		148	852
2070	20.7000		146	854
2080	20.8000		130	870
2090	20.9000		125	875
2100	21.0000		115	885
2110	21.1000		126	874
2120	21.2000		124	876
2130	21.3000		140	860
2140	21.4000		138	862
2150	21.5000		133	867
2160	21.6000		111	889
2170	21.7000		116	884
2180	21.8000		120	880
2190	21.9000		119	881
2200	22.0000		112	888
2210	22.1000		119	881
2220	22.2000		135	865
2230	22.3000		133	867
2240	22.4000		119	881
2250	22.5000		122	878
2260	22.6000		124	876
2270	22.7000		133	867
2280	22.8000		130	870
2290	22.9000		120	880
2300	23.0000		129	871
2310	23.1000		126	874
2320	23.2000		132	868
2330	23.3000		132	868
2340	23.4000		125	875
2350	23.5000		114	886
2360	23.6000		119	881
2370	23.7000		112	888
2380	23.8000		118	882
2390	23.9000		127	873
2400	24.0000		136	864
2410	24.1000		130	870
2420	24.2000		135	865
2430	24.3000		145	855
2440	24.4000		117	883
2450	24.5000		138	862
2460	24.6000		137	863
2470	24.7000		130	870
2480	24.8000		113	887
2490	24.9000		117	883
2500	25.0000		138	862
2510	25.1000		120	880
2520	25.2000		134	866
2530	25.3000		135	865
2540	25.4000		133	867
2550	25.5000		126	874
2560	25.6000		118	882
2570	25.7000		120	880
2580	25.8000		121	879
2590	25.9000		140	860
2600	26.0000		137	863
2610	26.1000		136	864
2620	26.2000		125	875
2630	26.3000		132	868
2640	26.4000		111	889
2650	26.5000		116	884
2660	26.6000		106	894
2670	26.7000		115	885
2680	26.8000		126	874
2690	26.9000		126	874
2700	27.0000		116	884
2710	27.1000		110	890
2720	27.2000		129	871
2730	27.3000		139	861
2740	27.4000		140	860
2750	27.5000		129	871
2760	27.6000		143	857
2770	27.7000		123	877
2780	27.8000		123	877
2790	27.9000		124	876
2800	28.0000		145	855
2810	28.1000		137	863
2820	28.2000		130	870
2830	28.3000		127	873
2840	28.4000		115	885
2850	28.5000		120	880
2860	28.6000		113	887
2870	28.7000		130	870
2880	28.8000		128	872
2890	28.9000		127	873
2900	29.0000		112	888
2910	29.1000		127	873
2920	29.2000		111	889
2930	29.3000		113	887
2940	29.4000		108	892
2950	29.5000		114	886
2960	29.6000		115	885
2970	29.7000		110	890
2980	29.8000		133	867
2990	29.9000		115	885
3000	30.0000		122	878
3010	30.1000		127	873
3020	30.2000		125	875
3030	30.3000		131	869
3040	30.4000		116	884
3050	30.5000		109	891
3060	30.6000		110	890
3070	30.7000		128	872
3080	30.8000		136	864
3090	30.9000		126	874
3100	31.0000		133	867
3110	31.1000		123	877
3120	31.2000		141	859
3130	31.3000		140	860
3140	31.4000		137	863
3150	31.5000		116	884
3160	31.6000		125	875
3170	31.7000		120	880
3180	31.8000		116	884
3190	31.9000		113	887
3200	32.0000		112	888
3210	32.1000		122	878
3220	32.2000		128	872
3230	32.3000		128	872
3240	32.4000		140	860
3250	32.5000		138	862
3260	32.6000		128	872
3270	32.7000		156	844
3280	32.8000		132	868
3290	32.9000		108	892
3300	33.0000		116	884
3310	33.1000		121	879
3320	33.2000		120	880
3330	33.3000		124	876
3340	33.4000		124	876
3350	33.5000		118	882
3360	33.6000		128	872
3370	33.7000		116	884
3380	33.8000		131	869
3390	33.9000		124	876
3400	34.0000		127	873
3410	34.1000		130	870
3420	34.2000		142	858
3430	34.3000		129	871
3440	34.4000		128	872
3450	34.5000		117	883
3460	34.6000		105	895
3470	34.7000		98	902
3480	34.8000		117	883
3490	34.9000		124	876
3500	35.0000		136	864
3510	35.1000		122	878
3520	35.2000		107	893
3530	35.3000		118	882
3540	35.4000		119	881
3550	35.5000		113	887
3560	35.6000		125	875
3570	35.7000		128	872
3580	35.8000		120	880
3590	35.9000		127	873
3600	36.0000		115	885
3610	36.1000		118	882
3620	36.2000		102	898
3630	36.3000		135	865
3640	36.4000		133	867
3650	36.5000		150	850
3660	36.6000		149	851
3670	36.7000		131	869
3680	36.8000		134	866
3690	36.9000		141	859
3700	37.0000		145	855
3710	37.1000		127	873
3720	37.2000		136	864
3730	37.3000		125	875
3740	37.4000		128	872
3750	37.5000		133	867
3760	37.6000		116	884
3770	37.7000		118	882
3780	37.8000		118	882
3790	37.9000		127	873
3800	38.0000		129	871
3810	38.1000		127	873
3820	38.2000		139	861
3830	38.3000		135	865
3840	38.4000		134	866
3850	38.5000		145	855
3860	38.6000		132	868
3870	38.7000		126	874
3880	38.8000		113	887
3890	38.9000		111	889
3900	39.0000		118	882
3910	39.1000		124	876
3920	39.2000		136	864
3930	39.3000		134	866
3940	39.4000		130	870
3950	39.5000		117	883
3960	39.6000		143	857
3970	39.7000		149	851
3980	39.8000		136	864
3990	39.9000		120	880
4000	40.0000		118	882
4010	40.1000		126	874
4020	40.2000		130	870
4030	40.3000		133	867
4040	40.4000		112	888
4050	40.5000		119	881
4060	40.6000		124	876
4070	40.7000		130	870
4080	40.8000		124	876
4090	40.9000		136	864
4100	41.0000		127	873
4110	41.1000		120	880
4120	41.2000		121	879
4130	41.3000		121	879
4140	41.4000		128	872
4150	41.5000		109	891
4160	41.6000		118	882
4170	41.7000		118	882
4180	41.8000		126	874
4190	41.9000		123	877
4200	42.0000		133	867
4210	42.1000		144	856
4220	42.2000		158	842
4230	42.3000		154	846
4240	42.4000		132	868
4250	42.5000		127	873
4260	42.6000		129	871
4270	42.7000		122	878
4280	42.8000		129	871
4290	42.9000		133	867
4300	43.0000		133	867
4310	43.1000		137	863
4320	43.2000		128	872
4330	43.3000		115	885
4340	43.4000		109	891
4350	43.5000		128	872
4360	43.6000		139	861
4370	43.7000		125	875
4380	43.8000		129	871
4390	43.9000		123	877
4400	44.0000		130	870
4410	44.1000		144	856
4420	44.2000		125	875
4430	44.3000		125	875
4440	44.4000		139	861
4450	44.5000		142	858
4460	44.6000		125	875
4470	44.7000		122	878
