# Step	Time	mean_S	stderr_S	mean_I	stderr_I
0	0.0000	999.000000	0.000000	1.000000	0.000000
100	1.0000	996.760000	0.504032	3.240000	0.504032
200	2.0000	994.840000	0.869648	5.160000	0.869648
300	3.0000	991.320000	1.304589	8.680000	1.304589
400	4.0000	987.300000	1.850676	12.700000	1.850676
500	5.0000	983.380000	2.281208	16.620000	2.281208
600	6.0000	977.540000	3.095572	22.460000	3.095572
700	7.0000	970.960000	4.054228	29.040000	4.054228
800	8.0000	962.380000	5.290209	37.620000	5.290209
900	9.0000	953.900000	6.424158	46.100000	6.424158
1000	10.0000	943.020000	7.995273	56.980000	7.995273
1100	11.0000	932.280000	9.343577	67.720000	9.343577
1200	12.0000	920.320000	10.641671	79.680000	10.641671
1300	13.0000	903.200000	12.552641	96.800000	12.552641
1400	14.0000	891.480000	14.050544	108.520000	14.050544
1500	15.0000	874.440000	16.301464	125.560000	16.301464
1600	16.0000	856.340000	18.176240	143.660000	18.176240
1700	17.0000	836.340000	20.218182	163.660000	20.218182
1800	18.0000	818.920000	21.898070	181.080000	21.898070
1900	19.0000	801.100000	23.467599	198.900000	23.467599
2000	20.0000	783.740000	25.214310	216.260000	25.214310
2100	21.0000	769.800000	26.415162	230.200000	26.415162
2200	22.0000	752.600000	27.922149	247.400000	27.922149
2300	23.0000	737.400000	29.359605	262.600000	29.359605
2400	24.0000	722.740000	30.749254	277.260000	30.749254
2500	25.0000	710.080000	31.791003	289.920000	31.791003
2600	26.0000	700.500000	32.583717	299.500000	32.583717
2700	27.0000	689.640000	33.426573	310.360000	33.426573
2800	28.0000	678.860000	34.467318	321.140000	34.467318
2900	29.0000	675.840000	34.684098	324.160000	34.684098
3000	30.0000	668.480000	35.390759	331.520000	35.390759
3100	31.0000	667.080000	35.480866	332.920000	35.480866
3200	32.0000	663.600000	35.848135	336.400000	35.848135
3300	33.0000	665.960000	35.592695	334.040000	35.592695
3400	34.0000	663.820000	35.777643	336.180000	35.777643
3500	35.0000	666.060000	35.507052	333.940000	35.507052
3600	36.0000	666.040000	35.492928	333.960000	35.492928
3700	37.0000	663.160000	35.817028	336.840000	35.817028
3800	38.0000	662.680000	35.913657	337.320000	35.913657
3900	39.0000	662.820000	35.848433	337.180000	35.848433
4000	40.0000	663.240000	35.771459	336.760000	35.771459
4100	41.0000	668.380000	35.246820	331.620000	35.246820
4200	42.0000	667.500000	35.377318	332.500000	35.377318
4300	43.0000	660.360000	36.112222	339.640000	36.112222
4400	44.0000	661.140000	36.085842	338.860000	36.085842
4500	45.0000	656.960000	36.493835	343.040000	36.493835
4600	46.0000	656.020000	36.541062	343.980000	36.541062
4700	47.0000	656.260000	36.544699	343.740000	36.544699
4800	48.0000	659.680000	36.181724	340.320000	36.181724
4900	49.0000	658.900000	36.271578	341.100000	36.271578
5000	50.0000	659.780000	36.195075	340.220000	36.195075
5100	51.0000	658.560000	36.275922	341.440000	36.275922
5200	52.0000	658.140000	36.326552	341.860000	36.326552
5300	53.0000	655.920000	36.576253	344.080000	36.576253
5400	54.0000	657.320000	36.440191	342.680000	36.440191
5500	55.0000	655.240000	36.664550	344.760000	36.664550
5600	56.0000	658.900000	36.281524	341.100000	36.281524
5700	57.0000	659.380000	36.235153	340.620000	36.235153
5800	58.0000	660.900000	36.066630	339.100000	36.066630
5900	59.0000	658.740000	36.303551	341.260000	36.303551
6000	60.0000	662.440000	35.917496	337.560000	35.917496
6100	61.0000	658.700000	36.274556	341.300000	36.274556
6200	62.0000	654.700000	36.725787	345.300000	36.725787
6300	63.0000	654.980000	36.665270	345.020000	36.665270
6400	64.0000	658.860000	36.240342	341.140000	36.240342
6500	65.0000	659.280000	36.217643	340.720000	36.217643
6600	66.0000	660.360000	36.102053	339.640000	36.102053
6700	67.0000	661.300000	35.987434	338.700000	35.987434
6800	68.0000	661.000000	36.026368	339.000000	36.026368
6900	69.0000	660.820000	36.048874	339.180000	36.048874
7000	70.0000	657.320000	36.419154	342.680000	36.419154
7100	71.0000	658.620000	36.287451	341.380000	36.287451
7200	72.0000	662.700000	35.877784	337.300000	35.877784
7300	73.0000	661.400000	35.991288	338.600000	35.991288
7400	74.0000	660.400000	36.078071	339.600000	36.078071
7500	75.0000	659.760000	36.162351	340.240000	36.162351
7600	76.0000	655.540000	36.620532	344.460000	36.620532
7700	77.0000	657.160000	36.452131	342.840000	36.452131
7800	78.0000	653.640000	36.876668	346.360000	36.876668
7900	79.0000	654.160000	36.826668	345.840000	36.826668
8000	80.0000	654.640000	36.749920	345.360000	36.749920
8100	81.0000	657.340000	36.433365	342.660000	36.433365
8200	82.0000	658.240000	36.360127	341.760000	36.360127
8300	83.0000	662.460000	35.891884	337.540000	35.891884
8400	84.0000	661.340000	35.998373	338.660000	35.998373
8500	85.0000	659.340000	36.203023	340.660000	36.203023
8600	86.0000	655.940000	36.590626	344.060000	36.590626
8700	87.0000	659.240000	36.206801	340.760000	36.206801
8800	88.0000	655.080000	36.664422	344.920000	36.664422
8900	89.0000	654.060000	36.811144	345.940000	36.811144
9000	90.0000	652.820000	36.913246	347.180000	36.913246
9100	91.0000	658.600000	36.282602	341.400000	36.282602
9200	92.0000	656.300000	36.510889	343.700000	36.510889
9300	93.0000	661.260000	36.005153	338.740000	36.005153
9400	94.0000	659.680000	36.171054	340.320000	36.171054
9500	95.0000	663.180000	35.787112	336.820000	35.787112
9600	96.0000	655.380000	36.631723	344.620000	36.631723
9700	97.0000	655.660000	36.635902	344.340000	36.635902
9800	98.0000	658.840000	36.262723	341.160000	36.262723
9900	99.0000	656.020000	36.583105	343.980000	36.583105
10000	100.0000	657.640000	36.397459	342.360000	36.397459
10100	101.0000	657.340000	36.398369	342.660000	36.398369
10200	102.0000	651.660000	37.074246	348.340000	37.074246
10300	103.0000	655.920000	36.573322	344.080000	36.573322
10400	104.0000	657.980000	36.362173	342.020000	36.362173
10500	105.0000	659.240000	36.235558	340.760000	36.235558
10600	106.0000	655.620000	36.610041	344.380000	36.610041
10700	107.0000	659.060000	36.248602	340.940000	36.248602
10800	108.0000	660.980000	36.046897	339.020000	36.046897
10900	109.0000	663.880000	35.769972	336.120000	35.769972
11000	110.0000	659.640000	36.170593	340.360000	36.170593
11100	111.0000	660.220000	36.081289	339.780000	36.081289
11200	112.0000	657.500000	36.385143	342.500000	36.385143
11300	113.0000	657.840000	36.369266	342.160000	36.369266
11400	114.0000	659.560000	36.166572	340.440000	36.166572
11500	115.0000	659.880000	36.191708	340.120000	36.191708
11600	116.0000	654.780000	36.680963	345.220000	36.680963
11700	117.0000	655.500000	36.602374	344.500000	36.602374
11800	118.0000	650.760000	37.104820	349.240000	37.104820
11900	119.0000	654.400000	36.742945	345.600000	36.742945
12000	120.0000	659.540000	36.176790	340.460000	36.176790
12100	121.0000	656.980000	36.458135	343.020000	36.458135
12200	122.0000	660.040000	36.118372	339.960000	36.118372
12300	123.0000	659.640000	36.182767	340.360000	36.182767
12400	124.0000	656.640000	36.481587	343.360000	36.481587
12500	125.0000	660.680000	36.059933	339.320000	36.059933
12600	126.0000	659.340000	36.187242	340.660000	36.187242
12700	127.0000	655.560000	36.628078	344.440000	36.628078
12800	128.0000	659.560000	36.221973	340.440000	36.221973
12900	129.0000	656.060000	36.521330	343.940000	36.521330
13000	130.0000	658.220000	36.330938	341.780000	36.330938
13100	131.0000	659.460000	36.195682	340.540000	36.195682
13200	132.0000	660.940000	36.055251	339.060000	36.055251
13300	133.0000	659.720000	36.168650	340.280000	36.168650
13400	134.0000	659.940000	36.134265	340.060000	36.134265
13500	135.0000	657.160000	36.416418	342.840000	36.416418
13600	136.0000	655.640000	36.583119	344.360000	36.583119
13700	137.0000	654.780000	36.679763	345.220000	36.679763
13800	138.0000	656.840000	36.509926	343.160000	36.509926
13900	139.0000	653.180000	36.882979	346.820000	36.882979
14000	140.0000	652.340000	36.950341	347.660000	36.950341
14100	141.0000	660.120000	36.124890	339.880000	36.124890
14200	142.0000	655.940000	36.615793	344.060000	36.615793
14300	143.0000	656.660000	36.507485	343.340000	36.507485
14400	144.0000	659.340000	36.189198	340.660000	36.189198
14500	145.0000	660.380000	36.129090	339.620000	36.129090
14600	146.0000	658.880000	36.300740	341.120000	36.300740
14700	147.0000	660.920000	36.061501	339.080000	36.061501
14800	148.0000	661.720000	35.976126	338.280000	35.976126
14900	149.0000	656.840000	36.468346	343.160000	36.468346
15000	150.0000	659.600000	36.202464	340.400000	36.202464
15100	151.0000	661.680000	35.966612	338.320000	35.966612
15200	152.0000	658.460000	36.315949	341.540000	36.315949
15300	153.0000	661.820000	35.934860	338.180000	35.934860
15400	154.0000	659.580000	36.175562	340.420000	36.175562
15500	155.0000	659.920000	36.143855	340.080000	36.143855
15600	156.0000	657.400000	36.411262	342.600000	36.411262
15700	157.0000	658.620000	36.295122	341.380000	36.295122
15800	158.0000	657.420000	36.441450	342.580000	36.441450
15900	159.0000	659.080000	36.292885	340.920000	36.292885
16000	160.0000	659.420000	36.194641	340.580000	36.194641
16100	161.0000	656.460000	36.520528	343.540000	36.520528
16200	162.0000	658.240000	36.356970	341.760000	36.356970
16300	163.0000	659.700000	36.168155	340.300000	36.168155
16400	164.0000	662.260000	35.904115	337.740000	35.904115
16500	165.0000	662.080000	35.939481	337.920000	35.939481
16600	166.0000	662.720000	35.839777	337.280000	35.839777
16700	167.0000	663.340000	35.803593	336.660000	35.803593
16800	168.0000	662.920000	35.826257	337.080000	35.826257
16900	169.0000	660.560000	36.090688	339.440000	36.090688
17000	170.0000	658.580000	36.300238	341.420000	36.300238
17100	171.0000	658.460000	36.352906	341.540000	36.352906
17200	172.0000	658.140000	36.388350	341.860000	36.388350
17300	173.0000	653.880000	36.818013	346.120000	36.818013
17400	174.0000	655.020000	36.666677	344.980000	36.666677
17500	175.0000	656.680000	36.481573	343.320000	36.481573
17600	176.0000	659.420000	36.220106	340.580000	36.220106
17700	177.0000	662.780000	35.849422	337.220000	35.849422
17800	178.0000	656.840000	36.463180	343.160000	36.463180
17900	179.0000	656.220000	36.514165	343.780000	36.514165
18000	180.0000	661.140000	35.997311	338.860000	35.997311
18100	181.0000	660.800000	36.060849	339.200000	36.060849
18200	182.0000	661.260000	35.994831	338.740000	35.994831
18300	183.0000	657.860000	36.335602	342.140000	36.335602
18400	184.0000	658.840000	36.234198	341.160000	36.234198
18500	185.0000	660.120000	36.110936	339.880000	36.110936
18600	186.0000	660.420000	36.112337	339.580000	36.112337
18700	187.0000	661.820000	35.953867	338.180000	35.953867
18800	188.0000	660.700000	36.080568	339.300000	36.080568
18900	189.0000	657.780000	36.363919	342.220000	36.363919
19000	190.0000	661.540000	35.999536	338.460000	35.999536
19100	191.0000	659.960000	36.133762	340.040000	36.133762
19200	192.0000	661.460000	35.992991	338.540000	35.992991
19300	193.0000	655.600000	36.605748	344.400000	36.605748
19400	194.0000	653.040000	36.865441	346.960000	36.865441
19500	195.0000	657.520000	36.394101	342.480000	36.394101
19600	196.0000	657.520000	36.399970	342.480000	36.399970
19700	197.0000	660.180000	36.113507	339.820000	36.113507
19800	198.0000	659.100000	36.265568	340.900000	36.265568
19900	199.0000	662.740000	35.880176	337.260000	35.880176
20000	200.0000	659.540000	36.203582	340.460000	36.203582
20100	201.0000	656.940000	36.456225	343.060000	36.456225
20200	202.0000	654.240000	36.771811	345.760000	36.771811
20300	203.0000	660.320000	36.115442	339.680000	36.115442
20400	204.0000	661.960000	35.918786	338.040000	35.918786
20500	205.0000	658.700000	36.325344	341.300000	36.325344
20600	206.0000	658.620000	36.328918	341.380000	36.328918
20700	207.0000	659.300000	36.224459	340.700000	36.224459
20800	208.0000	660.920000	36.091560	339.080000	36.091560
20900	209.0000	657.160000	36.453821	342.840000	36.453821
21000	210.0000	658.940000	36.232388	341.060000	36.232388
21100	211.0000	657.280000	36.453631	342.720000	36.453631
21200	212.0000	661.260000	36.030307	338.740000	36.030307
21300	213.0000	659.160000	36.225509	340.840000	36.225509
21400	214.0000	660.500000	36.071365	339.500000	36.071365
21500	215.0000	658.860000	36.235861	341.140000	36.235861
21600	216.0000	656.640000	36.501449	343.360000	36.501449
21700	217.0000	657.480000	36.426180	342.520000	36.426180
21800	218.0000	659.780000	36.206677	340.220000	36.206677
21900	219.0000	659.180000	36.235471	340.820000	36.235471
22000	220.0000	656.440000	36.493683	343.560000	36.493683
22100	221.0000	659.360000	36.205665	340.640000	36.205665
22200	222.0000	663.780000	35.770908	336.220000	35.770908
22300	223.0000	662.580000	35.858791	337.420000	35.858791
22400	224.0000	663.880000	35.748585	336.120000	35.748585
22500	225.0000	658.920000	36.262188	341.080000	36.262188
22600	226.0000	655.740000	36.568673	344.260000	36.568673
22700	227.0000	658.580000	36.261529	341.420000	36.261529
22800	228.0000	661.520000	35.973582	338.480000	35.973582
22900	229.0000	657.300000	36.449606	342.700000	36.449606
23000	230.0000	657.820000	36.410896	342.180000	36.410896
23100	231.0000	659.960000	36.142185	340.040000	36.142185
23200	232.0000	660.840000	36.103666	339.160000	36.103666
23300	233.0000	656.720000	36.456078	343.280000	36.456078
23400	234.0000	657.540000	36.388979	342.460000	36.388979
23500	235.0000	657.600000	36.418369	342.400000	36.418369
23600	236.0000	660.120000	36.137578	339.880000	36.137578
23700	237.0000	661.120000	36.011239	338.880000	36.011239
23800	238.0000	656.640000	36.495860	343.360000	36.495860
23900	239.0000	659.980000	36.131034	340.020000	36.131034
24000	240.0000	662.920000	35.879675	337.080000	35.879675
24100	241.0000	661.240000	36.010793	338.760000	36.010793
24200	242.0000	663.840000	35.728861	336.160000	35.728861
24300	243.0000	661.540000	36.025293	338.460000	36.025293
24400	244.0000	659.920000	36.153394	340.080000	36.153394
24500	245.0000	659.940000	36.172436	340.060000	36.172436
24600	246.0000	659.820000	36.129608	340.180000	36.129608
24700	247.0000	655.980000	36.598213	344.020000	36.598213
24800	248.0000	658.320000	36.340803	341.680000	36.340803
24900	249.0000	660.820000	36.098096	339.180000	36.098096
25000	250.0000	663.560000	35.807632	336.440000	35.807632
25100	251.0000	660.580000	36.082917	339.420000	36.082917
25200	252.0000	658.400000	36.309139	341.600000	36.309139
25300	253.0000	660.480000	36.084858	339.520000	36.084858
25400	254.0000	661.820000	35.944665	338.180000	35.944665
25500	255.0000	664.000000	35.699580	336.000000	35.699580
25600	256.0000	663.020000	35.854110	336.980000	35.854110
25700	257.0000	656.640000	36.498052	343.360000	36.498052
25800	258.0000	658.920000	36.265718	341.080000	36.265718
25900	259.0000	655.200000	36.668122	344.800000	36.668122
26000	260.0000	653.800000	36.788302	346.200000	36.788302
26100	261.0000	655.680000	36.582580	344.320000	36.582580
26200	262.0000	652.340000	36.972191	347.660000	36.972191
26300	263.0000	655.660000	36.650420	344.340000	36.650420
26400	264.0000	657.180000	36.479613	342.820000	36.479613
26500	265.0000	657.020000	36.488557	342.980000	36.488557
26600	266.0000	661.800000	35.932247	338.200000	35.932247
26700	267.0000	661.500000	35.959736	338.500000	35.959736
26800	268.0000	657.020000	36.453219	342.980000	36.453219
26900	269.0000	657.620000	36.414534	342.380000	36.414534
27000	270.0000	658.140000	36.367656	341.860000	36.367656
27100	271.0000	661.040000	36.061736	338.960000	36.061736
27200	272.0000	663.520000	35.774899	336.480000	35.774899
27300	273.0000	660.880000	36.059292	339.120000	36.059292
27400	274.0000	655.480000	36.617561	344.520000	36.617561
27500	275.0000	654.080000	36.789790	345.920000	36.789790
27600	276.0000	655.940000	36.564621	344.060000	36.564621
27700	277.0000	654.880000	36.664933	345.120000	36.664933
27800	278.0000	655.540000	36.594166	344.460000	36.594166
27900	279.0000	656.660000	36.483778	343.340000	36.483778
28000	280.0000	658.880000	36.238230	341.120000	36.238230
28100	281.0000	660.680000	36.102182	339.320000	36.102182
28200	282.0000	659.720000	36.161593	340.280000	36.161593
28300	283.0000	659.900000	36.140418	340.100000	36.140418
28400	284.0000	658.500000	36.274071	341.500000	36.274071
28500	285.0000	661.360000	36.001631	338.640000	36.001631
28600	286.0000	658.460000	36.312083	341.540000	36.312083
28700	287.0000	657.800000	36.399407	342.200000	36.399407
28800	288.0000	656.040000	36.601551	343.960000	36.601551
28900	289.0000	651.800000	37.038726	348.200000	37.038726
29000	290.0000	655.300000	36.626824	344.700000	36.626824
29100	291.0000	657.260000	36.442786	342.740000	36.442786
29200	292.0000	661.240000	36.052945	338.760000	36.052945
29300	293.0000	661.940000	35.945530	338.060000	35.945530
29400	294.0000	659.060000	36.229749	340.940000	36.229749
29500	295.0000	659.860000	36.117774	340.140000	36.117774
29600	296.0000	660.560000	36.097603	339.440000	36.097603
29700	297.0000	662.240000	35.939756	337.760000	35.939756
29800	298.0000	660.720000	36.075699	339.280000	36.075699
29900	299.0000	657.960000	36.354025	342.040000	36.354025
30000	300.0000	653.880000	36.850299	346.120000	36.850299
30100	301.0000	656.220000	36.545679	343.780000	36.545679
30200	302.0000	660.460000	36.091320	339.540000	36.091320
30300	303.0000	657.820000	36.371854	342.180000	36.371854
30400	304.0000	660.040000	36.124506	339.960000	36.124506
30500	305.0000	659.180000	36.272719	340.820000	36.272719
30600	306.0000	654.780000	36.752962	345.220000	36.752962
30700	307.0000	657.880000	36.383014	342.120000	36.383014
30800	308.0000	654.080000	36.785561	345.920000	36.785561
30900	309.0000	657.720000	36.382403	342.280000	36.382403
31000	310.0000	659.080000	36.292047	340.920000	36.292047
31100	311.0000	660.020000	36.139801	339.980000	36.139801
31200	312.0000	659.840000	36.144348	340.160000	36.144348
31300	313.0000	660.700000	36.053496	339.300000	36.053496
31400	314.0000	661.040000	36.057631	338.960000	36.057631
31500	315.0000	659.120000	36.233748	340.880000	36.233748
31600	316.0000	658.460000	36.280024	341.540000	36.280024
31700	317.0000	662.700000	35.866232	337.300000	35.866232
