# Creating system...
# System created with N=1000 particles

# Initial state:
# Susceptibles: 999, Infected: 1

# Starting simulation...
# Step	Time		S	I
0	0.0000		999	1
100	1.0000		996	4
200	2.0000		994	6
300	3.0000		988	12
400	4.0000		982	18
500	5.0000		981	19
600	6.0000		980	20
700	7.0000		976	24
800	8.0000		963	37
900	9.0000		956	44
1000	10.0000		936	64
1100	11.0000		922	78
1200	12.0000		920	80
1300	13.0000		899	101
1400	14.0000		898	102
1500	15.0000		878	122
1600	16.0000		834	166
1700	17.0000		796	204
1800	18.0000		750	250
1900	19.0000		714	286
2000	20.0000		691	309
2100	21.0000		660	340
2200	22.0000		654	346
2300	23.0000		604	396
2400	24.0000		599	401
2500	25.0000		579	421
2600	26.0000		554	446
2700	27.0000		539	461
2800	28.0000		507	493
2900	29.0000		504	496
3000	30.0000		476	524
3100	31.0000		442	558
3200	32.0000		427	573
3300	33.0000		472	528
3400	34.0000		432	568
3500	35.0000		452	548
3600	36.0000		502	498
3700	37.0000		480	520
3800	38.0000		479	521
3900	39.0000		432	568
4000	40.0000		488	512
4100	41.0000		488	512
4200	42.0000		454	546
4300	43.0000		479	521
4400	44.0000		445	555
4500	45.0000		410	590
4600	46.0000		479	521
4700	47.0000		457	543
4800	48.0000		454	546
4900	49.0000		431	569
5000	50.0000		439	561
5100	51.0000		480	520
5200	52.0000		480	520
5300	53.0000		507	493
5400	54.0000		484	516
5500	55.0000		464	536
5600	56.0000		464	536
5700	57.0000		497	503
5800	58.0000		474	526
5900	59.0000		452	548
6000	60.0000		457	543
6100	61.0000		437	563
6200	62.0000		422	578
6300	63.0000		420	580
6400	64.0000		443	557
6500	65.0000		461	539
6600	66.0000		460	540
6700	67.0000		476	524
6800	68.0000		441	559
6900	69.0000		449	551
7000	70.0000		473	527
7100	71.0000		475	525
7200	72.0000		530	470
7300	73.0000		488	512
7400	74.0000		476	524
7500	75.0000		487	513
7600	76.0000		485	515
7700	77.0000		482	518
7800	78.0000		465	535
7900	79.0000		450	550
8000	80.0000		451	549
8100	81.0000		466	534
8200	82.0000		468	532
8300	83.0000		479	521
8400	84.0000		444	556
8500	85.0000		445	555
8600	86.0000		496	504
8700	87.0000		486	514
8800	88.0000		455	545
8900	89.0000		451	549
9000	90.0000		428	572
9100	91.0000		476	524
9200	92.0000		450	550
9300	93.0000		430	570
9400	94.0000		461	539
9500	95.0000		499	501
9600	96.0000		478	522
9700	97.0000		482	518
9800	98.0000		500	500
9900	99.0000		520	480
10000	100.0000		499	501
10100	101.0000		473	527
10200	102.0000		458	542
10300	103.0000		463	537
10400	104.0000		458	542
10500	105.0000		436	564
10600	106.0000		468	532
10700	107.0000		437	563
10800	108.0000		442	558
10900	109.0000		469	531
11000	110.0000		491	509
11100	111.0000		494	506
11200	112.0000		459	541
11300	113.0000		460	540
11400	114.0000		456	544
11500	115.0000		457	543
11600	116.0000		456	544
11700	117.0000		444	556
11800	118.0000		428	572
11900	119.0000		432	568
12000	120.0000		488	512
12100	121.0000		456	544
12200	122.0000		470	530
12300	123.0000		470	530
12400	124.0000		475	525
12500	125.0000		474	526
12600	126.0000		452	548
12700	127.0000		460	540
12800	128.0000		510	490
12900	129.0000		467	533
13000	130.0000		500	500
13100	131.0000		452	548
13200	132.0000		475	525
13300	133.0000		455	545
13400	134.0000		454	546
13500	135.0000		467	533
13600	136.0000		464	536
13700	137.0000		471	529
13800	138.0000		464	536
13900	139.0000		453	547
14000	140.0000		457	543
14100	141.0000		451	549
14200	142.0000		410	590
14300	143.0000		432	568
14400	144.0000		456	544
14500	145.0000		393	607
14600	146.0000		433	567
14700	147.0000		488	512
14800	148.0000		457	543
14900	149.0000		459	541
15000	150.0000		473	527
15100	151.0000		483	517
15200	152.0000		448	552
15300	153.0000		464	536
15400	154.0000		473	527
15500	155.0000		482	518
15600	156.0000		470	530
15700	157.0000		489	511
15800	158.0000		455	545
15900	159.0000		462	538
16000	160.0000		474	526
16100	161.0000		475	525
16200	162.0000		483	517
16300	163.0000		472	528
16400	164.0000		467	533
16500	165.0000		466	534
16600	166.0000		464	536
16700	167.0000		454	546
16800	168.0000		454	546
16900	169.0000		440	560
17000	170.0000		442	558
17100	171.0000		440	560
17200	172.0000		474	526
17300	173.0000		448	552
17400	174.0000		478	522
17500	175.0000		491	509
17600	176.0000		494	506
17700	177.0000		506	494
17800	178.0000		485	515
17900	179.0000		485	515
18000	180.0000		462	538
18100	181.0000		480	520
18200	182.0000		461	539
18300	183.0000		469	531
18400	184.0000		458	542
18500	185.0000		449	551
18600	186.0000		416	584
18700	187.0000		436	564
18800	188.0000		457	543
18900	189.0000		481	519
19000	190.0000		447	553
19100	191.0000		456	544
19200	192.0000		471	529
19300	193.0000		472	528
19400	194.0000		494	506
19500	195.0000		488	512
19600	196.0000		469	531
19700	197.0000		471	529
19800	198.0000		457	543
19900	199.0000		477	523
20000	200.0000		485	515
20100	201.0000		468	532
20200	202.0000		465	535
20300	203.0000		471	529
20400	204.0000		471	529
20500	205.0000		442	558
20600	206.0000		456	544
20700	207.0000		461	539
20800	208.0000		470	530
20900	209.0000		465	535
21000	210.0000		481	519
21100	211.0000		464	536
21200	212.0000		459	541
21300	213.0000		466	534
21400	214.0000		497	503
21500	215.0000		483	517
21600	216.0000		425	575
21700	217.0000		459	541
21800	218.0000		473	527
21900	219.0000		455	545
22000	220.0000		464	536
22100	221.0000		456	544
22200	222.0000		458	542
22300	223.0000		473	527
22400	224.0000		480	520
22500	225.0000		484	516
22600	226.0000		452	548
22700	227.0000		442	558
22800	228.0000		446	554
22900	229.0000		447	553
23000	230.0000		456	544
23100	231.0000		471	529
23200	232.0000		467	533
23300	233.0000		452	548
23400	234.0000		463	537
23500	235.0000		423	577
23600	236.0000		445	555
23700	237.0000		475	525
23800	238.0000		499	501
23900	239.0000		499	501
24000	240.0000		456	544
24100	241.0000		430	570
24200	242.0000		437	563
24300	243.0000		448	552
24400	244.0000		481	519
24500	245.0000		490	510
24600	246.0000		488	512
24700	247.0000		479	521
24800	248.0000		471	529
24900	249.0000		479	521
25000	250.0000		478	522
25100	251.0000		464	536
25200	252.0000		473	527
25300	253.0000		452	548
25400	254.0000		464	536
25500	255.0000		469	531
25600	256.0000		478	522
25700	257.0000		483	517
25800	258.0000		457	543
25900	259.0000		478	522
26000	260.0000		477	523
26100	261.0000		446	554
26200	262.0000		464	536
26300	263.0000		440	560
26400	264.0000		468	532
26500	265.0000		483	517
26600	266.0000		472	528
26700	267.0000		460	540
26800	268.0000		448	552
26900	269.0000		418	582
27000	270.0000		475	525
27100	271.0000		489	511
27200	272.0000		503	497
27300	273.0000		491	509
27400	274.0000		477	523
27500	275.0000		445	555
27600	276.0000		438	562
27700	277.0000		438	562
27800	278.0000		441	559
27900	279.0000		459	541
28000	280.0000		461	539
28100	281.0000		472	528
28200	282.0000		455	545
28300	283.0000		449	551
28400	284.0000		463	537
28500	285.0000		446	554
28600	286.0000		453	547
28700	287.0000		464	536
28800	288.0000		440	560
28900	289.0000		434	566
29000	290.0000		453	547
29100	291.0000		451	549
29200	292.0000		488	512
29300	293.0000		458	542
29400	294.0000		452	548
29500	295.0000		436	564
29600	296.0000		439	561
29700	297.0000		445	555
29800	298.0000		457	543
29900	299.0000		441	559
30000	300.0000		447	553
30100	301.0000		441	559
30200	302.0000		489	511
30300	303.0000		489	511
30400	304.0000		460	540
30500	305.0000		467	533
30600	306.0000		439	561
30700	307.0000		458	542
30800	308.0000		486	514
30900	309.0000		476	524
31000	310.0000		456	544
31100	311.0000		483	517
31200	312.0000		472	528
31300	313.0000		444	556
31400	314.0000		475	525
31500	315.0000		481	519
31600	316.0000		465	535
31700	317.0000		480	520
31800	318.0000		476	524
31900	319.0000		476	524
32000	320.0000		441	559
32100	321.0000		453	547
32200	322.0000		454	546
32300	323.0000		464	536
32400	324.0000		428	572
32500	325.0000		440	560
32600	326.0000		426	574
32700	327.0000		448	552
32800	328.0000		473	527
32900	329.0000		472	528
33000	330.0000		475	525
33100	331.0000		470	530
33200	332.0000		444	556
33300	333.0000		472	528
33400	334.0000		469	531
33500	335.0000		452	548
33600	336.0000		459	541
33700	337.0000		467	533
33800	338.0000		465	535
33900	339.0000		461	539
34000	340.0000		478	522
34100	341.0000		492	508
34200	342.0000		466	534
34300	343.0000		442	558
34400	344.0000		491	509
34500	345.0000		484	516
34600	346.0000		483	517
34700	347.0000		488	512
34800	348.0000		471	529
34900	349.0000		433	567
35000	350.0000		437	563
35100	351.0000		445	555
35200	352.0000		461	539
35300	353.0000		498	502
35400	354.0000		483	517
35500	355.0000		485	515
35600	356.0000		464	536
35700	357.0000		475	525
35800	358.0000		472	528
35900	359.0000		476	524
36000	360.0000		480	520
36100	361.0000		437	563
36200	362.0000		454	546
36300	363.0000		443	557
36400	364.0000		467	533
36500	365.0000		435	565
36600	366.0000		451	549
36700	367.0000		448	552
36800	368.0000		480	520
36900	369.0000		486	514
37000	370.0000		502	498
37100	371.0000		470	530
37200	372.0000		461	539
37300	373.0000		450	550
37400	374.0000		486	514
37500	375.0000		509	491
37600	376.0000		514	486
37700	377.0000		528	472
37800	378.0000		462	538
37900	379.0000		489	511
38000	380.0000		498	502
38100	381.0000		492	508
38200	382.0000		500	500
38300	383.0000		478	522
38400	384.0000		482	518
38500	385.0000		455	545
38600	386.0000		427	573
38700	387.0000		424	576
38800	388.0000		471	529
38900	389.0000		460	540
39000	390.0000		460	540
39100	391.0000		468	532
39200	392.0000		488	512
39300	393.0000		459	541
39400	394.0000		427	573
39500	395.0000		441	559
39600	396.0000		448	552
39700	397.0000		483	517
39800	398.0000		487	513
39900	399.0000		455	545
40000	400.0000		450	550
40100	401.0000		493	507
40200	402.0000		482	518
40300	403.0000		465	535
40400	404.0000		477	523
40500	405.0000		446	554
40600	406.0000		446	554
40700	407.0000		444	556
40800	408.0000		475	525
40900	409.0000		486	514
41000	410.0000		443	557
41100	411.0000		462	538
41200	412.0000		454	546
41300	413.0000		447	553
41400	414.0000		454	546
41500	415.0000		472	528
41600	416.0000		464	536
41700	417.0000		480	520
41800	418.0000		456	544
41900	419.0000		448	552
42000	420.0000		428	572
42100	421.0000		472	528
42200	422.0000		464	536
42300	423.0000		410	590
42400	424.0000		431	569
42500	425.0000		460	540
42600	426.0000		472	528
42700	427.0000		438	562
42800	428.0000		440	560
42900	429.0000		497	503
43000	430.0000		469	531
43100	431.0000		460	540
43200	432.0000		479	521
43300	433.0000		452	548
43400	434.0000		502	498
43500	435.0000		498	502
43600	436.0000		505	495
43700	437.0000		466	534
43800	438.0000		486	514
43900	439.0000		462	538
44000	440.0000		486	514
44100	441.0000		474	526
44200	442.0000		468	532
44300	443.0000		457	543
44400	444.0000		460	540
44500	445.0000		447	553
44600	446.0000		492	508
44700	447.0000		475	525
44800	448.0000		481	519
44900	449.0000		489	511
45000	450.0000		488	512
45100	451.0000		453	547
45200	452.0000		450	550
45300	453.0000		478	522
45400	454.0000		467	533
45500	455.0000		446	554
45600	456.0000		435	565
45700	457.0000		456	544
45800	458.0000		469	531
45900	459.0000		475	525
46000	460.0000		461	539
46100	461.0000		422	578
46200	462.0000		436	564
46300	463.0000		443	557
46400	464.0000		436	564
46500	465.0000		429	571
46600	466.0000		447	553
46700	467.0000		471	529
46800	468.0000		495	505
46900	469.0000		470	530
47000	470.0000		486	514
47100	471.0000		493	507
47200	472.0000		478	522
47300	473.0000		454	546
47400	474.0000		442	558
47500	475.0000		466	534
