# Creating system...
# System created with N=1000 particles

# Initial state:
# Susceptibles: 999, Infected: 1

# Starting simulation...
# Step	Time		S	I
0	0.0000		999	1
100	1.0000		995	5
200	2.0000		996	4
300	3.0000		991	9
400	4.0000		991	9
500	5.0000		989	11
600	6.0000		985	15
700	7.0000		987	13
800	8.0000		983	17
900	9.0000		974	26
1000	10.0000		960	40
1100	11.0000		944	56
1200	12.0000		924	76
1300	13.0000		905	95
1400	14.0000		880	120
1500	15.0000		883	117
1600	16.0000		860	140
1700	17.0000		851	149
1800	18.0000		848	152
1900	19.0000		823	177
2000	20.0000		818	182
2100	21.0000		783	217
2200	22.0000		771	229
2300	23.0000		742	258
2400	24.0000		695	305
2500	25.0000		674	326
2600	26.0000		629	371
2700	27.0000		603	397
2800	28.0000		547	453
2900	29.0000		555	445
3000	30.0000		542	458
3100	31.0000		521	479
3200	32.0000		492	508
3300	33.0000		523	477
3400	34.0000		519	481
3500	35.0000		493	507
3600	36.0000		494	506
3700	37.0000		511	489
3800	38.0000		515	485
3900	39.0000		516	484
4000	40.0000		491	509
4100	41.0000		482	518
4200	42.0000		540	460
4300	43.0000		505	495
4400	44.0000		498	502
4500	45.0000		435	565
4600	46.0000		446	554
4700	47.0000		437	563
4800	48.0000		463	537
4900	49.0000		469	531
5000	50.0000		501	499
5100	51.0000		479	521
5200	52.0000		452	548
5300	53.0000		437	563
5400	54.0000		461	539
5500	55.0000		469	531
5600	56.0000		468	532
5700	57.0000		495	505
5800	58.0000		490	510
5900	59.0000		466	534
6000	60.0000		495	505
6100	61.0000		476	524
6200	62.0000		463	537
6300	63.0000		479	521
6400	64.0000		440	560
6500	65.0000		431	569
6600	66.0000		449	551
6700	67.0000		429	571
6800	68.0000		458	542
6900	69.0000		460	540
7000	70.0000		464	536
7100	71.0000		446	554
7200	72.0000		447	553
7300	73.0000		474	526
7400	74.0000		449	551
7500	75.0000		488	512
7600	76.0000		501	499
7700	77.0000		490	510
7800	78.0000		503	497
7900	79.0000		498	502
8000	80.0000		460	540
8100	81.0000		483	517
8200	82.0000		487	513
8300	83.0000		517	483
8400	84.0000		501	499
8500	85.0000		500	500
8600	86.0000		463	537
8700	87.0000		452	548
8800	88.0000		440	560
8900	89.0000		483	517
9000	90.0000		441	559
9100	91.0000		471	529
9200	92.0000		438	562
9300	93.0000		465	535
9400	94.0000		451	549
9500	95.0000		475	525
9600	96.0000		453	547
9700	97.0000		467	533
9800	98.0000		473	527
9900	99.0000		464	536
10000	100.0000		464	536
10100	101.0000		436	564
10200	102.0000		419	581
10300	103.0000		411	589
10400	104.0000		443	557
10500	105.0000		481	519
10600	106.0000		473	527
10700	107.0000		494	506
10800	108.0000		507	493
10900	109.0000		522	478
11000	110.0000		475	525
11100	111.0000		496	504
11200	112.0000		494	506
11300	113.0000		462	538
11400	114.0000		489	511
11500	115.0000		488	512
11600	116.0000		455	545
11700	117.0000		452	548
11800	118.0000		477	523
11900	119.0000		456	544
12000	120.0000		486	514
12100	121.0000		469	531
12200	122.0000		487	513
12300	123.0000		449	551
12400	124.0000		461	539
12500	125.0000		442	558
12600	126.0000		474	526
12700	127.0000		432	568
12800	128.0000		445	555
12900	129.0000		473	527
13000	130.0000		443	557
13100	131.0000		415	585
13200	132.0000		443	557
13300	133.0000		467	533
13400	134.0000		452	548
13500	135.0000		460	540
13600	136.0000		419	581
13700	137.0000		443	557
13800	138.0000		496	504
13900	139.0000		444	556
14000	140.0000		468	532
14100	141.0000		474	526
14200	142.0000		437	563
14300	143.0000		472	528
14400	144.0000		503	497
14500	145.0000		494	506
14600	146.0000		458	542
14700	147.0000		479	521
14800	148.0000		481	519
14900	149.0000		447	553
15000	150.0000		490	510
15100	151.0000		474	526
15200	152.0000		482	518
15300	153.0000		491	509
15400	154.0000		461	539
