# phi	rc	N	alpha	sigma	beta	lambda	mean_R0	stderr_R0
0.900000	2.500000	1000.0	5.000000	0.624200	0.300000	1.000000	7.461000	0.170718
0.900000	2.500000	1000.0	5.000000	0.847000	0.300000	1.000000	7.197000	0.170541
0.900000	2.500000	1000.0	5.000000	1.149300	0.300000	1.000000	7.493000	0.181488
0.900000	2.500000	1000.0	5.000000	1.559500	0.300000	1.000000	8.115000	0.196198
0.900000	2.500000	1000.0	5.000000	2.116100	0.300000	1.000000	8.378000	0.219784
0.900000	2.500000	1000.0	5.000000	2.871400	0.300000	1.000000	10.039000	0.252874
0.900000	2.500000	1000.0	5.000000	3.896200	0.300000	1.000000	10.107000	0.285190
0.900000	2.500000	1000.0	5.000000	5.286800	0.300000	1.000000	11.126000	0.316702
0.900000	2.500000	1000.0	5.000000	7.173800	0.300000	1.000000	12.761000	0.377295
0.900000	2.500000	1000.0	5.000000	9.734200	0.300000	1.000000	12.420000	0.392499
0.900000	2.500000	1000.0	5.000000	13.208500	0.300000	1.000000	13.273000	0.420236
0.900000	2.500000	1000.0	5.000000	17.922900	0.300000	1.000000	13.139000	0.436767
0.900000	2.500000	1000.0	5.000000	24.319800	0.300000	1.000000	13.641000	0.425756
0.900000	2.500000	1000.0	5.000000	33.000000	0.300000	1.000000	12.577000	0.412950
