# Creating system...
# System created with N=1000 particles

# Initial state:
# Susceptibles: 999, Infected: 1

# Starting simulation...
# Relz	Step	Time	sigma	R0
0	6	0.0600	1
1	6	0.0600	1
2	3	0.0300	1
3	18	0.1800	1
4	10	0.1000	1
5	8	0.0800	1
6	9	0.0900	1
7	3	0.0300	1
8	5	0.0500	1
9	64	0.6400	2
10	29	0.2900	1
11	25	0.2500	1
12	10	0.1000	1
13	1	0.0100	1
14	5	0.0500	1
15	6	0.0600	1
16	13	0.1300	1
17	12	0.1200	2
18	15	0.1500	1
19	8	0.0800	2
20	22	0.2200	2
21	9	0.0900	1
22	17	0.1700	1
23	6	0.0600	1
24	14	0.1400	1
25	4	0.0400	1
26	2	0.0200	1
27	2	0.0200	1
28	17	0.1700	1
29	5	0.0500	1
30	3	0.0300	1
31	21	0.2100	1
32	13	0.1300	1
33	6	0.0600	1
34	15	0.1500	2
35	4	0.0400	1
36	5	0.0500	1
37	5	0.0500	1
38	4	0.0400	1
39	6	0.0600	1
40	17	0.1700	1
41	5	0.0500	1
42	35	0.3500	2
43	13	0.1300	1
44	8	0.0800	1
45	5	0.0500	1
46	13	0.1300	1
47	3	0.0300	1
48	26	0.2600	1
49	3	0.0300	1
50	6	0.0600	1
51	1	0.0100	1
52	24	0.2400	2
53	18	0.1800	1
54	3	0.0300	2
55	1	0.0100	1
56	6	0.0600	1
57	1	0.0100	1
58	2	0.0200	1
59	16	0.1600	1
60	5	0.0500	1
61	19	0.1900	1
62	4	0.0400	1
63	7	0.0700	1
64	22	0.2200	1
65	17	0.1700	1
66	18	0.1800	2
67	7	0.0700	1
68	2	0.0200	1
69	26	0.2600	1
70	1	0.0100	1
71	15	0.1500	1
72	2	0.0200	1
73	8	0.0800	1
74	16	0.1600	1
75	14	0.1400	1
76	1	0.0100	1
77	5	0.0500	1
78	25	0.2500	1
79	4	0.0400	1
80	1	0.0100	1
81	4	0.0400	1
82	14	0.1400	1
83	21	0.2100	1
84	16	0.1600	2
85	8	0.0800	1
86	23	0.2300	1
87	22	0.2200	2
88	6	0.0600	1
89	6	0.0600	1
90	12	0.1200	1
91	2	0.0200	1
92	3	0.0300	1
93	5	0.0500	1
94	2	0.0200	1
95	12	0.1200	2
96	5	0.0500	1
97	21	0.2100	1
98	2	0.0200	1
99	12	0.1200	2
100	1	0.0100	1
101	7	0.0700	1
102	4	0.0400	1
103	4	0.0400	1
104	8	0.0800	1
105	35	0.3500	1
106	6	0.0600	1
107	5	0.0500	2
108	9	0.0900	1
109	42	0.4200	1
110	1	0.0100	1
111	1	0.0100	1
112	4	0.0400	1
113	4	0.0400	1
114	4	0.0400	1
115	9	0.0900	1
116	4	0.0400	1
117	10	0.1000	1
118	8	0.0800	1
119	3	0.0300	1
120	11	0.1100	2
121	5	0.0500	1
122	6	0.0600	1
123	6	0.0600	1
124	5	0.0500	1
125	2	0.0200	1
126	1	0.0100	1
127	7	0.0700	1
128	3	0.0300	1
129	11	0.1100	2
130	33	0.3300	2
131	10	0.1000	1
132	8	0.0800	1
133	13	0.1300	2
134	13	0.1300	1
135	45	0.4500	1
136	8	0.0800	1
137	15	0.1500	1
138	3	0.0300	1
139	5	0.0500	1
140	1	0.0100	1
141	12	0.1200	1
142	12	0.1200	1
143	17	0.1700	1
144	6	0.0600	1
145	6	0.0600	1
146	2	0.0200	1
147	10	0.1000	1
148	17	0.1700	1
149	16	0.1600	1
150	9	0.0900	1
151	81	0.8100	2
152	3	0.0300	1
153	3	0.0300	1
154	1	0.0100	1
155	1	0.0100	1
156	4	0.0400	1
157	7	0.0700	1
158	2	0.0200	1
159	10	0.1000	2
160	2	0.0200	1
161	4	0.0400	1
162	9	0.0900	2
163	22	0.2200	2
164	17	0.1700	2
165	9	0.0900	1
166	9	0.0900	1
167	3	0.0300	2
168	1	0.0100	1
169	1	0.0100	1
170	4	0.0400	2
171	10	0.1000	1
172	4	0.0400	1
173	4	0.0400	1
174	18	0.1800	1
175	2	0.0200	1
176	16	0.1600	1
177	4	0.0400	1
178	1	0.0100	1
179	6	0.0600	1
180	3	0.0300	1
181	23	0.2300	1
182	3	0.0300	1
183	5	0.0500	1
184	8	0.0800	1
185	30	0.3000	1
186	6	0.0600	1
187	13	0.1300	1
188	2	0.0200	1
189	2	0.0200	1
190	28	0.2800	1
191	9	0.0900	1
192	4	0.0400	1
193	2	0.0200	1
194	3	0.0300	1
195	5	0.0500	1
196	1	0.0100	1
197	3	0.0300	1
198	13	0.1300	1
199	8	0.0800	1
200	28	0.2800	2
201	6	0.0600	1
202	12	0.1200	2
203	13	0.1300	1
204	9	0.0900	1
205	4	0.0400	1
206	1	0.0100	1
207	9	0.0900	1
208	7	0.0700	1
209	14	0.1400	2
210	20	0.2000	1
211	7	0.0700	1
212	15	0.1500	1
213	3	0.0300	1
214	3	0.0300	1
215	3	0.0300	1
216	4	0.0400	1
217	10	0.1000	1
218	22	0.2200	1
219	10	0.1000	2
220	6	0.0600	1
221	5	0.0500	1
222	40	0.4000	1
223	18	0.1800	1
224	31	0.3100	1
225	55	0.5500	3
226	1	0.0100	1
227	12	0.1200	1
228	11	0.1100	1
229	24	0.2400	1
230	5	0.0500	1
231	14	0.1400	1
232	5	0.0500	1
233	8	0.0800	1
234	7	0.0700	1
235	16	0.1600	1
236	3	0.0300	1
237	4	0.0400	1
238	1	0.0100	1
239	2	0.0200	1
240	12	0.1200	1
241	5	0.0500	1
242	7	0.0700	1
243	19	0.1900	1
244	6	0.0600	1
245	1	0.0100	1
246	15	0.1500	1
247	9	0.0900	1
