# Creating system...
# System created with N=1000 particles

# Initial state:
# Susceptibles: 999, Infected: 1

# Starting simulation...
# Relz	Step	Time	sigma	R0
284	13	0.1300	1
285	3	0.0300	1
286	5	0.0500	1
287	40	0.4000	3
288	13	0.1300	1
289	2	0.0200	1
290	4	0.0400	1
291	3	0.0300	1
292	7	0.0700	1
293	19	0.1900	3
294	3	0.0300	1
295	4	0.0400	1
296	32	0.3200	4
297	5	0.0500	1
298	6	0.0600	2
299	7	0.0700	1
300	17	0.1700	2
301	30	0.3000	1
302	29	0.2900	4
303	2	0.0200	1
304	22	0.2200	3
305	7	0.0700	1
306	4	0.0400	1
307	2	0.0200	1
308	6	0.0600	1
309	34	0.3400	3
310	21	0.2100	3
311	5	0.0500	1
312	10	0.1000	1
313	17	0.1700	2
314	3	0.0300	2
315	60	0.6000	2
316	27	0.2700	1
317	9	0.0900	1
318	1	0.0100	2
319	1	0.0100	1
320	11	0.1100	1
321	9	0.0900	2
322	8	0.0800	1
323	7	0.0700	2
324	2	0.0200	1
325	6	0.0600	1
326	3	0.0300	2
327	31	0.3100	3
328	15	0.1500	1
329	18	0.1800	1
330	11	0.1100	1
331	14	0.1400	2
332	3	0.0300	1
333	7	0.0700	3
334	17	0.1700	1
335	5	0.0500	1
336	1	0.0100	1
337	13	0.1300	1
338	1	0.0100	1
339	4	0.0400	1
340	7	0.0700	1
341	16	0.1600	2
342	2	0.0200	1
343	13	0.1300	1
344	1	0.0100	1
345	6	0.0600	1
346	2	0.0200	1
347	35	0.3500	2
348	6	0.0600	1
349	20	0.2000	1
350	6	0.0600	1
351	1	0.0100	1
352	23	0.2300	3
353	8	0.0800	2
354	14	0.1400	1
355	25	0.2500	3
356	2	0.0200	1
357	16	0.1600	2
358	18	0.1800	1
359	4	0.0400	1
360	5	0.0500	1
361	65	0.6500	2
362	21	0.2100	1
363	4	0.0400	2
364	9	0.0900	1
365	6	0.0600	3
366	4	0.0400	1
367	15	0.1500	1
368	7	0.0700	1
369	6	0.0600	1
370	33	0.3300	1
371	4	0.0400	1
372	13	0.1300	1
373	16	0.1600	2
374	7	0.0700	2
375	13	0.1300	2
376	8	0.0800	1
377	10	0.1000	1
378	11	0.1100	1
379	4	0.0400	1
380	14	0.1400	1
381	3	0.0300	1
382	1	0.0100	1
383	3	0.0300	1
384	20	0.2000	2
385	25	0.2500	1
386	4	0.0400	1
387	1	0.0100	1
388	6	0.0600	1
389	26	0.2600	3
390	12	0.1200	2
391	18	0.1800	1
392	22	0.2200	2
393	10	0.1000	1
394	7	0.0700	1
395	3	0.0300	1
396	49	0.4900	3
397	8	0.0800	1
398	4	0.0400	1
399	9	0.0900	3
400	2	0.0200	1
401	9	0.0900	2
402	1	0.0100	1
403	11	0.1100	1
404	11	0.1100	4
405	3	0.0300	1
406	3	0.0300	1
407	2	0.0200	1
408	1	0.0100	1
409	13	0.1300	3
410	5	0.0500	1
411	2	0.0200	1
412	7	0.0700	1
413	17	0.1700	1
414	4	0.0400	2
415	5	0.0500	2
416	7	0.0700	1
417	15	0.1500	1
418	1	0.0100	1
419	1	0.0100	1
420	8	0.0800	1
421	12	0.1200	2
422	7	0.0700	1
423	17	0.1700	1
424	30	0.3000	3
425	1	0.0100	1
426	8	0.0800	1
427	2	0.0200	1
428	6	0.0600	1
429	11	0.1100	2
430	11	0.1100	2
431	2	0.0200	1
432	2	0.0200	1
433	2	0.0200	1
434	1	0.0100	1
435	6	0.0600	1
436	1	0.0100	1
437	12	0.1200	1
438	16	0.1600	1
439	8	0.0800	1
440	6	0.0600	2
441	4	0.0400	1
442	1	0.0100	2
443	26	0.2600	2
444	19	0.1900	1
445	13	0.1300	1
446	6	0.0600	2
447	10	0.1000	2
448	15	0.1500	2
449	17	0.1700	1
450	9	0.0900	1
451	2	0.0200	1
452	3	0.0300	1
453	5	0.0500	1
454	11	0.1100	1
455	6	0.0600	1
456	2	0.0200	1
457	4	0.0400	1
458	1	0.0100	1
459	2	0.0200	2
460	22	0.2200	2
461	6	0.0600	2
462	22	0.2200	1
463	1	0.0100	1
464	7	0.0700	1
465	9	0.0900	1
466	15	0.1500	1
467	17	0.1700	1
468	1	0.0100	1
