# Creating system...
# System created with N=1000 particles

# Initial state:
# Susceptibles: 999, Infected: 1

# Starting simulation...
# Step	Time		S	I
0	0.0000		999	1
10	0.1000		996	4
20	0.2000		996	4
30	0.3000		995	5
40	0.4000		995	5
50	0.5000		992	8
60	0.6000		991	9
70	0.7000		991	9
80	0.8000		993	7
90	0.9000		993	7
100	1.0000		991	9
110	1.1000		991	9
120	1.2000		988	12
130	1.3000		982	18
140	1.4000		981	19
150	1.5000		979	21
160	1.6000		980	20
170	1.7000		978	22
180	1.8000		976	24
190	1.9000		975	25
200	2.0000		974	26
210	2.1000		974	26
220	2.2000		971	29
230	2.3000		969	31
240	2.4000		964	36
250	2.5000		961	39
260	2.6000		963	37
270	2.7000		962	38
280	2.8000		955	45
290	2.9000		951	49
300	3.0000		945	55
310	3.1000		936	64
320	3.2000		926	74
330	3.3000		918	82
340	3.4000		919	81
350	3.5000		912	88
360	3.6000		900	100
370	3.7000		895	105
380	3.8000		892	108
390	3.9000		891	109
400	4.0000		890	110
410	4.1000		878	122
420	4.2000		877	123
430	4.3000		864	136
440	4.4000		856	144
450	4.5000		855	145
460	4.6000		851	149
470	4.7000		836	164
480	4.8000		829	171
490	4.9000		835	165
500	5.0000		824	176
510	5.1000		817	183
520	5.2000		806	194
530	5.3000		808	192
540	5.4000		800	200
550	5.5000		785	215
560	5.6000		776	224
570	5.7000		770	230
580	5.8000		761	239
590	5.9000		753	247
600	6.0000		734	266
610	6.1000		727	273
620	6.2000		724	276
630	6.3000		716	284
640	6.4000		692	308
650	6.5000		676	324
660	6.6000		671	329
670	6.7000		673	327
680	6.8000		648	352
690	6.9000		631	369
700	7.0000		616	384
710	7.1000		583	417
720	7.2000		573	427
730	7.3000		563	437
740	7.4000		537	463
750	7.5000		516	484
760	7.6000		501	499
770	7.7000		483	517
780	7.8000		487	513
790	7.9000		479	521
800	8.0000		476	524
810	8.1000		452	548
820	8.2000		439	561
830	8.3000		403	597
840	8.4000		374	626
850	8.5000		363	637
860	8.6000		345	655
870	8.7000		361	639
880	8.8000		344	656
890	8.9000		338	662
900	9.0000		328	672
910	9.1000		312	688
920	9.2000		314	686
930	9.3000		304	696
940	9.4000		301	699
950	9.5000		288	712
960	9.6000		272	728
970	9.7000		266	734
980	9.8000		255	745
990	9.9000		260	740
1000	10.0000		262	738
1010	10.1000		258	742
1020	10.2000		275	725
1030	10.3000		279	721
1040	10.4000		277	723
1050	10.5000		255	745
1060	10.6000		256	744
1070	10.7000		241	759
1080	10.8000		236	764
1090	10.9000		234	766
1100	11.0000		240	760
1110	11.1000		241	759
1120	11.2000		250	750
1130	11.3000		244	756
1140	11.4000		255	745
1150	11.5000		247	753
1160	11.6000		251	749
1170	11.7000		234	766
1180	11.8000		241	759
1190	11.9000		260	740
1200	12.0000		243	757
1210	12.1000		254	746
1220	12.2000		251	749
1230	12.3000		262	738
1240	12.4000		251	749
1250	12.5000		231	769
1260	12.6000		237	763
1270	12.7000		232	768
1280	12.8000		233	767
1290	12.9000		219	781
1300	13.0000		235	765
1310	13.1000		225	775
1320	13.2000		253	747
1330	13.3000		258	742
1340	13.4000		242	758
1350	13.5000		241	759
1360	13.6000		233	767
1370	13.7000		238	762
1380	13.8000		223	777
1390	13.9000		223	777
1400	14.0000		217	783
1410	14.1000		231	769
1420	14.2000		223	777
1430	14.3000		234	766
1440	14.4000		245	755
1450	14.5000		272	728
1460	14.6000		272	728
1470	14.7000		268	732
1480	14.8000		279	721
1490	14.9000		277	723
1500	15.0000		275	725
1510	15.1000		274	726
1520	15.2000		271	729
1530	15.3000		263	737
1540	15.4000		248	752
1550	15.5000		259	741
1560	15.6000		251	749
1570	15.7000		239	761
1580	15.8000		254	746
1590	15.9000		247	753
1600	16.0000		254	746
1610	16.1000		259	741
1620	16.2000		260	740
1630	16.3000		270	730
1640	16.4000		240	760
1650	16.5000		231	769
1660	16.6000		240	760
1670	16.7000		246	754
1680	16.8000		246	754
1690	16.9000		248	752
1700	17.0000		241	759
1710	17.1000		241	759
1720	17.2000		250	750
1730	17.3000		256	744
1740	17.4000		241	759
1750	17.5000		249	751
1760	17.6000		241	759
1770	17.7000		259	741
1780	17.8000		276	724
1790	17.9000		261	739
1800	18.0000		252	748
1810	18.1000		246	754
1820	18.2000		253	747
1830	18.3000		259	741
1840	18.4000		279	721
1850	18.5000		276	724
1860	18.6000		287	713
1870	18.7000		301	699
1880	18.8000		266	734
1890	18.9000		281	719
1900	19.0000		277	723
1910	19.1000		263	737
1920	19.2000		270	730
1930	19.3000		271	729
1940	19.4000		268	732
1950	19.5000		259	741
1960	19.6000		256	744
1970	19.7000		249	751
1980	19.8000		252	748
1990	19.9000		247	753
2000	20.0000		253	747
2010	20.1000		254	746
2020	20.2000		249	751
2030	20.3000		240	760
2040	20.4000		252	748
2050	20.5000		266	734
2060	20.6000		258	742
2070	20.7000		255	745
2080	20.8000		259	741
2090	20.9000		244	756
2100	21.0000		253	747
2110	21.1000		250	750
2120	21.2000		250	750
2130	21.3000		237	763
2140	21.4000		247	753
2150	21.5000		250	750
2160	21.6000		248	752
2170	21.7000		273	727
2180	21.8000		269	731
2190	21.9000		257	743
2200	22.0000		244	756
2210	22.1000		232	768
2220	22.2000		256	744
2230	22.3000		253	747
2240	22.4000		251	749
2250	22.5000		243	757
2260	22.6000		251	749
2270	22.7000		247	753
2280	22.8000		262	738
2290	22.9000		282	718
2300	23.0000		250	750
2310	23.1000		231	769
2320	23.2000		234	766
2330	23.3000		232	768
2340	23.4000		232	768
2350	23.5000		251	749
2360	23.6000		254	746
2370	23.7000		252	748
2380	23.8000		243	757
2390	23.9000		222	778
2400	24.0000		236	764
2410	24.1000		238	762
2420	24.2000		230	770
2430	24.3000		235	765
2440	24.4000		249	751
2450	24.5000		240	760
2460	24.6000		252	748
2470	24.7000		251	749
2480	24.8000		267	733
2490	24.9000		271	729
2500	25.0000		272	728
2510	25.1000		262	738
2520	25.2000		268	732
2530	25.3000		279	721
2540	25.4000		272	728
2550	25.5000		264	736
2560	25.6000		264	736
2570	25.7000		260	740
2580	25.8000		241	759
2590	25.9000		222	778
2600	26.0000		241	759
2610	26.1000		225	775
2620	26.2000		238	762
2630	26.3000		249	751
2640	26.4000		245	755
2650	26.5000		265	735
2660	26.6000		279	721
2670	26.7000		286	714
2680	26.8000		262	738
2690	26.9000		253	747
2700	27.0000		242	758
2710	27.1000		232	768
2720	27.2000		239	761
2730	27.3000		254	746
2740	27.4000		261	739
2750	27.5000		258	742
2760	27.6000		262	738
2770	27.7000		256	744
2780	27.8000		255	745
2790	27.9000		257	743
2800	28.0000		258	742
2810	28.1000		254	746
2820	28.2000		271	729
2830	28.3000		270	730
2840	28.4000		265	735
2850	28.5000		269	731
2860	28.6000		263	737
2870	28.7000		256	744
2880	28.8000		239	761
2890	28.9000		235	765
2900	29.0000		243	757
2910	29.1000		244	756
2920	29.2000		229	771
2930	29.3000		231	769
2940	29.4000		229	771
2950	29.5000		248	752
2960	29.6000		237	763
2970	29.7000		238	762
2980	29.8000		237	763
2990	29.9000		252	748
3000	30.0000		256	744
3010	30.1000		252	748
3020	30.2000		259	741
3030	30.3000		257	743
3040	30.4000		276	724
3050	30.5000		262	738
3060	30.6000		258	742
3070	30.7000		251	749
3080	30.8000		243	757
3090	30.9000		240	760
3100	31.0000		240	760
3110	31.1000		236	764
3120	31.2000		251	749
3130	31.3000		248	752
3140	31.4000		272	728
3150	31.5000		274	726
3160	31.6000		264	736
3170	31.7000		257	743
3180	31.8000		259	741
3190	31.9000		252	748
3200	32.0000		262	738
3210	32.1000		262	738
3220	32.2000		252	748
3230	32.3000		244	756
3240	32.4000		262	738
3250	32.5000		241	759
3260	32.6000		232	768
3270	32.7000		235	765
3280	32.8000		253	747
3290	32.9000		276	724
3300	33.0000		269	731
3310	33.1000		270	730
3320	33.2000		273	727
3330	33.3000		270	730
3340	33.4000		241	759
3350	33.5000		246	754
3360	33.6000		276	724
3370	33.7000		273	727
3380	33.8000		267	733
3390	33.9000		265	735
3400	34.0000		266	734
3410	34.1000		252	748
3420	34.2000		252	748
3430	34.3000		260	740
3440	34.4000		251	749
3450	34.5000		241	759
3460	34.6000		236	764
3470	34.7000		260	740
3480	34.8000		255	745
