# Creating system...
# System created with N=1000 particles

# Initial state:
# Susceptibles: 999, Infected: 1

# Starting simulation...
# Step	Time		S	I
0	0.0000		999	1
10	0.1000		999	1
20	0.2000		999	1
30	0.3000		999	1
40	0.4000		999	1
50	0.5000		999	1
60	0.6000		999	1
70	0.7000		997	3
80	0.8000		997	3
90	0.9000		996	4
100	1.0000		995	5
110	1.1000		995	5
120	1.2000		995	5
130	1.3000		993	7
140	1.4000		992	8
150	1.5000		985	15
160	1.6000		982	18
170	1.7000		980	20
180	1.8000		977	23
190	1.9000		972	28
200	2.0000		965	35
210	2.1000		960	40
220	2.2000		955	45
230	2.3000		952	48
240	2.4000		946	54
250	2.5000		942	58
260	2.6000		936	64
270	2.7000		932	68
280	2.8000		926	74
290	2.9000		926	74
300	3.0000		925	75
310	3.1000		927	73
320	3.2000		919	81
330	3.3000		914	86
340	3.4000		903	97
350	3.5000		893	107
360	3.6000		873	127
370	3.7000		875	125
380	3.8000		874	126
390	3.9000		861	139
400	4.0000		851	149
410	4.1000		849	151
420	4.2000		841	159
430	4.3000		835	165
440	4.4000		835	165
450	4.5000		822	178
460	4.6000		820	180
470	4.7000		812	188
480	4.8000		813	187
490	4.9000		806	194
500	5.0000		789	211
510	5.1000		780	220
520	5.2000		780	220
530	5.3000		774	226
540	5.4000		771	229
550	5.5000		751	249
560	5.6000		745	255
570	5.7000		737	263
580	5.8000		732	268
590	5.9000		716	284
600	6.0000		711	289
610	6.1000		704	296
620	6.2000		682	318
630	6.3000		669	331
640	6.4000		658	342
650	6.5000		644	356
660	6.6000		653	347
670	6.7000		636	364
680	6.8000		629	371
690	6.9000		617	383
700	7.0000		595	405
710	7.1000		573	427
720	7.2000		560	440
730	7.3000		527	473
740	7.4000		498	502
750	7.5000		483	517
760	7.6000		464	536
770	7.7000		443	557
780	7.8000		443	557
790	7.9000		422	578
800	8.0000		381	619
810	8.1000		364	636
820	8.2000		378	622
830	8.3000		368	632
840	8.4000		369	631
850	8.5000		356	644
860	8.6000		326	674
870	8.7000		315	685
880	8.8000		320	680
890	8.9000		317	683
900	9.0000		311	689
910	9.1000		288	712
920	9.2000		302	698
930	9.3000		290	710
940	9.4000		278	722
950	9.5000		276	724
960	9.6000		271	729
970	9.7000		273	727
980	9.8000		268	732
990	9.9000		268	732
1000	10.0000		266	734
1010	10.1000		284	716
1020	10.2000		263	737
1030	10.3000		262	738
1040	10.4000		270	730
1050	10.5000		271	729
1060	10.6000		263	737
1070	10.7000		266	734
1080	10.8000		269	731
1090	10.9000		287	713
1100	11.0000		289	711
1110	11.1000		285	715
1120	11.2000		280	720
1130	11.3000		272	728
1140	11.4000		265	735
1150	11.5000		263	737
1160	11.6000		247	753
1170	11.7000		252	748
1180	11.8000		268	732
1190	11.9000		265	735
1200	12.0000		248	752
1210	12.1000		262	738
1220	12.2000		264	736
1230	12.3000		267	733
1240	12.4000		259	741
1250	12.5000		247	753
1260	12.6000		254	746
1270	12.7000		254	746
1280	12.8000		257	743
1290	12.9000		255	745
1300	13.0000		260	740
1310	13.1000		255	745
1320	13.2000		260	740
1330	13.3000		255	745
1340	13.4000		268	732
1350	13.5000		284	716
1360	13.6000		268	732
1370	13.7000		271	729
1380	13.8000		249	751
1390	13.9000		255	745
1400	14.0000		249	751
1410	14.1000		250	750
1420	14.2000		242	758
1430	14.3000		238	762
1440	14.4000		233	767
1450	14.5000		226	774
1460	14.6000		222	778
1470	14.7000		234	766
1480	14.8000		215	785
1490	14.9000		223	777
1500	15.0000		222	778
1510	15.1000		247	753
1520	15.2000		274	726
1530	15.3000		249	751
1540	15.4000		243	757
1550	15.5000		227	773
1560	15.6000		223	777
1570	15.7000		254	746
1580	15.8000		241	759
1590	15.9000		254	746
1600	16.0000		243	757
1610	16.1000		255	745
1620	16.2000		255	745
1630	16.3000		240	760
1640	16.4000		241	759
1650	16.5000		232	768
1660	16.6000		247	753
1670	16.7000		238	762
1680	16.8000		251	749
1690	16.9000		264	736
1700	17.0000		258	742
1710	17.1000		245	755
1720	17.2000		238	762
1730	17.3000		237	763
1740	17.4000		232	768
1750	17.5000		218	782
1760	17.6000		230	770
1770	17.7000		217	783
1780	17.8000		244	756
1790	17.9000		237	763
1800	18.0000		229	771
1810	18.1000		231	769
1820	18.2000		232	768
1830	18.3000		248	752
1840	18.4000		259	741
1850	18.5000		259	741
1860	18.6000		262	738
1870	18.7000		252	748
1880	18.8000		266	734
1890	18.9000		262	738
1900	19.0000		251	749
1910	19.1000		234	766
1920	19.2000		253	747
1930	19.3000		256	744
1940	19.4000		256	744
1950	19.5000		239	761
1960	19.6000		242	758
1970	19.7000		233	767
1980	19.8000		231	769
1990	19.9000		239	761
2000	20.0000		240	760
2010	20.1000		236	764
2020	20.2000		243	757
2030	20.3000		249	751
2040	20.4000		244	756
2050	20.5000		252	748
2060	20.6000		261	739
2070	20.7000		255	745
2080	20.8000		248	752
2090	20.9000		258	742
2100	21.0000		248	752
2110	21.1000		261	739
2120	21.2000		245	755
2130	21.3000		243	757
2140	21.4000		232	768
2150	21.5000		239	761
2160	21.6000		247	753
2170	21.7000		259	741
2180	21.8000		260	740
2190	21.9000		258	742
2200	22.0000		270	730
2210	22.1000		268	732
2220	22.2000		266	734
2230	22.3000		269	731
2240	22.4000		280	720
2250	22.5000		262	738
2260	22.6000		263	737
2270	22.7000		257	743
2280	22.8000		247	753
2290	22.9000		245	755
2300	23.0000		256	744
2310	23.1000		248	752
2320	23.2000		248	752
2330	23.3000		247	753
2340	23.4000		247	753
2350	23.5000		237	763
2360	23.6000		233	767
2370	23.7000		238	762
2380	23.8000		233	767
2390	23.9000		232	768
2400	24.0000		244	756
2410	24.1000		236	764
2420	24.2000		237	763
2430	24.3000		234	766
2440	24.4000		251	749
2450	24.5000		246	754
2460	24.6000		256	744
2470	24.7000		240	760
2480	24.8000		251	749
2490	24.9000		252	748
2500	25.0000		247	753
2510	25.1000		247	753
2520	25.2000		231	769
2530	25.3000		220	780
2540	25.4000		225	775
2550	25.5000		234	766
2560	25.6000		248	752
2570	25.7000		247	753
2580	25.8000		239	761
2590	25.9000		246	754
2600	26.0000		245	755
2610	26.1000		233	767
2620	26.2000		236	764
2630	26.3000		242	758
2640	26.4000		228	772
2650	26.5000		248	752
2660	26.6000		263	737
2670	26.7000		242	758
2680	26.8000		256	744
2690	26.9000		253	747
2700	27.0000		255	745
2710	27.1000		259	741
2720	27.2000		227	773
2730	27.3000		232	768
2740	27.4000		229	771
2750	27.5000		235	765
2760	27.6000		236	764
2770	27.7000		242	758
2780	27.8000		248	752
2790	27.9000		239	761
2800	28.0000		252	748
2810	28.1000		251	749
2820	28.2000		247	753
2830	28.3000		255	745
2840	28.4000		242	758
2850	28.5000		249	751
2860	28.6000		230	770
2870	28.7000		228	772
2880	28.8000		231	769
2890	28.9000		234	766
2900	29.0000		243	757
2910	29.1000		252	748
2920	29.2000		225	775
2930	29.3000		219	781
2940	29.4000		234	766
2950	29.5000		233	767
2960	29.6000		241	759
2970	29.7000		232	768
2980	29.8000		235	765
2990	29.9000		240	760
3000	30.0000		247	753
3010	30.1000		227	773
3020	30.2000		244	756
3030	30.3000		242	758
3040	30.4000		235	765
3050	30.5000		261	739
3060	30.6000		255	745
3070	30.7000		254	746
3080	30.8000		254	746
3090	30.9000		266	734
3100	31.0000		270	730
3110	31.1000		268	732
3120	31.2000		268	732
3130	31.3000		257	743
3140	31.4000		256	744
3150	31.5000		250	750
3160	31.6000		258	742
3170	31.7000		271	729
3180	31.8000		262	738
3190	31.9000		273	727
3200	32.0000		272	728
3210	32.1000		287	713
3220	32.2000		279	721
3230	32.3000		270	730
3240	32.4000		280	720
3250	32.5000		267	733
3260	32.6000		271	729
3270	32.7000		276	724
3280	32.8000		279	721
3290	32.9000		261	739
3300	33.0000		272	728
3310	33.1000		254	746
3320	33.2000		255	745
3330	33.3000		270	730
3340	33.4000		251	749
3350	33.5000		255	745
3360	33.6000		249	751
3370	33.7000		251	749
3380	33.8000		246	754
3390	33.9000		251	749
3400	34.0000		241	759
3410	34.1000		229	771
3420	34.2000		259	741
3430	34.3000		271	729
3440	34.4000		256	744
3450	34.5000		257	743
3460	34.6000		262	738
3470	34.7000		262	738
3480	34.8000		253	747
3490	34.9000		251	749
3500	35.0000		247	753
3510	35.1000		253	747
3520	35.2000		262	738
3530	35.3000		270	730
3540	35.4000		271	729
3550	35.5000		269	731
3560	35.6000		240	760
3570	35.7000		238	762
3580	35.8000		260	740
3590	35.9000		252	748
3600	36.0000		254	746
3610	36.1000		238	762
3620	36.2000		241	759
3630	36.3000		282	718
3640	36.4000		261	739
3650	36.5000		237	763
3660	36.6000		244	756
3670	36.7000		237	763
3680	36.8000		267	733
3690	36.9000		272	728
3700	37.0000		262	738
3710	37.1000		255	745
3720	37.2000		248	752
3730	37.3000		258	742
3740	37.4000		284	716
3750	37.5000		277	723
3760	37.6000		264	736
3770	37.7000		282	718
3780	37.8000		264	736
3790	37.9000		268	732
3800	38.0000		244	756
3810	38.1000		241	759
3820	38.2000		237	763
3830	38.3000		243	757
3840	38.4000		237	763
3850	38.5000		238	762
3860	38.6000		238	762
3870	38.7000		242	758
3880	38.8000		251	749
3890	38.9000		234	766
3900	39.0000		237	763
3910	39.1000		257	743
3920	39.2000		254	746
3930	39.3000		254	746
3940	39.4000		259	741
3950	39.5000		258	742
3960	39.6000		238	762
3970	39.7000		237	763
3980	39.8000		244	756
3990	39.9000		240	760
4000	40.0000		253	747
4010	40.1000		271	729
4020	40.2000		271	729
4030	40.3000		248	752
4040	40.4000		257	743
4050	40.5000		272	728
4060	40.6000		275	725
4070	40.7000		285	715
4080	40.8000		282	718
4090	40.9000		281	719
4100	41.0000		282	718
4110	41.1000		275	725
4120	41.2000		292	708
4130	41.3000		272	728
4140	41.4000		251	749
4150	41.5000		240	760
4160	41.6000		255	745
4170	41.7000		255	745
4180	41.8000		244	756
4190	41.9000		248	752
4200	42.0000		243	757
4210	42.1000		237	763
4220	42.2000		224	776
4230	42.3000		216	784
4240	42.4000		243	757
4250	42.5000		247	753
4260	42.6000		251	749
4270	42.7000		264	736
4280	42.8000		275	725
4290	42.9000		269	731
4300	43.0000		261	739
4310	43.1000		250	750
4320	43.2000		263	737
4330	43.3000		280	720
4340	43.4000		262	738
4350	43.5000		256	744
4360	43.6000		260	740
4370	43.7000		266	734
4380	43.8000		262	738
4390	43.9000		261	739
4400	44.0000		252	748
4410	44.1000		266	734
4420	44.2000		258	742
4430	44.3000		266	734
4440	44.4000		247	753
4450	44.5000		248	752
4460	44.6000		247	753
4470	44.7000		241	759
