# Step	Time	mean_S	stderr_S	mean_I	stderr_I
0	0.0000	999.000000	0.000000	1.000000	0.000000
100	1.0000	998.860000	0.213560	1.140000	0.213560
200	2.0000	998.560000	0.383833	1.440000	0.383833
300	3.0000	998.180000	0.477234	1.820000	0.477234
400	4.0000	998.000000	0.557136	2.000000	0.557136
500	5.0000	997.820000	0.680993	2.180000	0.680993
600	6.0000	997.260000	0.788320	2.740000	0.788320
700	7.0000	997.220000	0.985612	2.780000	0.985612
800	8.0000	997.540000	0.882365	2.460000	0.882365
900	9.0000	997.280000	0.989562	2.720000	0.989562
1000	10.0000	997.540000	0.974150	2.460000	0.974150
1100	11.0000	997.220000	1.217634	2.780000	1.217634
1200	12.0000	997.400000	1.084066	2.600000	1.084066
1300	13.0000	997.360000	1.091333	2.640000	1.091333
1400	14.0000	997.420000	1.193010	2.580000	1.193010
1500	15.0000	997.500000	1.113643	2.500000	1.113643
1600	16.0000	996.960000	1.427434	3.040000	1.427434
1700	17.0000	996.980000	1.456431	3.020000	1.456431
1800	18.0000	996.480000	1.772961	3.520000	1.772961
1900	19.0000	996.460000	1.737863	3.540000	1.737863
2000	20.0000	996.680000	1.590079	3.320000	1.590079
2100	21.0000	996.300000	1.853267	3.700000	1.853267
2200	22.0000	996.680000	1.718706	3.320000	1.718706
2300	23.0000	996.560000	1.754345	3.440000	1.754345
2400	24.0000	996.840000	1.515087	3.160000	1.515087
2500	25.0000	996.760000	1.514083	3.240000	1.514083
2600	26.0000	996.640000	1.564803	3.360000	1.564803
2700	27.0000	996.380000	1.714617	3.620000	1.714617
2800	28.0000	996.500000	1.718430	3.500000	1.718430
2900	29.0000	996.860000	1.527353	3.140000	1.527353
3000	30.0000	995.980000	1.987056	4.020000	1.987056
3100	31.0000	995.560000	2.083873	4.440000	2.083873
3200	32.0000	995.300000	2.154669	4.700000	2.154669
3300	33.0000	995.300000	2.226252	4.700000	2.226252
3400	34.0000	995.340000	2.183320	4.660000	2.183320
3500	35.0000	995.380000	2.198161	4.620000	2.198161
3600	36.0000	995.660000	2.060021	4.340000	2.060021
3700	37.0000	995.460000	2.125692	4.540000	2.125692
3800	38.0000	995.260000	2.247454	4.740000	2.247454
3900	39.0000	995.260000	2.249233	4.740000	2.249233
4000	40.0000	995.540000	2.096132	4.460000	2.096132
4100	41.0000	995.000000	2.301652	5.000000	2.301652
4200	42.0000	994.940000	2.430541	5.060000	2.430541
4300	43.0000	995.280000	2.189254	4.720000	2.189254
4400	44.0000	995.280000	2.306173	4.720000	2.306173
4500	45.0000	995.100000	2.528122	4.900000	2.528122
4600	46.0000	995.200000	2.775896	4.800000	2.775896
4700	47.0000	995.040000	2.682083	4.960000	2.682083
4800	48.0000	994.440000	3.040153	5.560000	3.040153
4900	49.0000	994.200000	3.247029	5.800000	3.247029
5000	50.0000	994.660000	3.152981	5.340000	3.152981
5100	51.0000	994.860000	2.954997	5.140000	2.954997
5200	52.0000	994.160000	3.135010	5.840000	3.135010
5300	53.0000	994.840000	2.793902	5.160000	2.793902
5400	54.0000	994.600000	2.814818	5.400000	2.814818
5500	55.0000	994.380000	2.903224	5.620000	2.903224
5600	56.0000	994.300000	3.060490	5.700000	3.060490
5700	57.0000	994.360000	3.059773	5.640000	3.059773
