# Creating system...
# System created with N=1000 particles

# Initial state:
# Susceptibles: 999, Infected: 1

# Starting simulation...
# Step	Time		S	I
0	0.0000		999	1
100	1.0000		996	4
200	2.0000		989	11
300	3.0000		978	22
400	4.0000		915	85
500	5.0000		808	192
600	6.0000		634	366
700	7.0000		490	510
800	8.0000		375	625
900	9.0000		290	710
1000	10.0000		238	762
1100	11.0000		272	728
1200	12.0000		284	716
1300	13.0000		230	770
1400	14.0000		257	743
1500	15.0000		245	755
1600	16.0000		250	750
1700	17.0000		274	726
1800	18.0000		262	738
1900	19.0000		248	752
2000	20.0000		244	756
2100	21.0000		233	767
2200	22.0000		253	747
2300	23.0000		242	758
2400	24.0000		241	759
2500	25.0000		229	771
2600	26.0000		222	778
2700	27.0000		225	775
2800	28.0000		225	775
2900	29.0000		238	762
3000	30.0000		226	774
3100	31.0000		241	759
3200	32.0000		235	765
3300	33.0000		254	746
3400	34.0000		226	774
3500	35.0000		259	741
3600	36.0000		246	754
3700	37.0000		232	768
3800	38.0000		219	781
3900	39.0000		241	759
4000	40.0000		248	752
4100	41.0000		277	723
4200	42.0000		242	758
4300	43.0000		274	726
4400	44.0000		265	735
4500	45.0000		228	772
4600	46.0000		266	734
4700	47.0000		217	783
4800	48.0000		234	766
4900	49.0000		226	774
5000	50.0000		244	756
5100	51.0000		248	752
5200	52.0000		262	738
5300	53.0000		273	727
5400	54.0000		259	741
5500	55.0000		229	771
5600	56.0000		248	752
5700	57.0000		248	752
5800	58.0000		246	754
5900	59.0000		227	773
6000	60.0000		237	763
6100	61.0000		276	724
6200	62.0000		255	745
6300	63.0000		260	740
6400	64.0000		237	763
6500	65.0000		256	744
6600	66.0000		252	748
6700	67.0000		234	766
6800	68.0000		229	771
6900	69.0000		208	792
7000	70.0000		205	795
7100	71.0000		220	780
7200	72.0000		256	744
7300	73.0000		240	760
7400	74.0000		254	746
7500	75.0000		259	741
7600	76.0000		282	718
7700	77.0000		253	747
7800	78.0000		246	754
7900	79.0000		227	773
8000	80.0000		242	758
8100	81.0000		248	752
8200	82.0000		256	744
8300	83.0000		250	750
8400	84.0000		234	766
8500	85.0000		271	729
8600	86.0000		247	753
8700	87.0000		244	756
8800	88.0000		257	743
8900	89.0000		236	764
9000	90.0000		244	756
9100	91.0000		240	760
9200	92.0000		248	752
9300	93.0000		268	732
9400	94.0000		246	754
9500	95.0000		261	739
9600	96.0000		262	738
9700	97.0000		285	715
9800	98.0000		240	760
9900	99.0000		271	729
10000	100.0000		243	757
10100	101.0000		231	769
10200	102.0000		256	744
10300	103.0000		260	740
10400	104.0000		252	748
10500	105.0000		266	734
10600	106.0000		244	756
10700	107.0000		265	735
10800	108.0000		257	743
10900	109.0000		239	761
11000	110.0000		225	775
11100	111.0000		220	780
11200	112.0000		254	746
11300	113.0000		266	734
11400	114.0000		218	782
11500	115.0000		231	769
11600	116.0000		235	765
11700	117.0000		238	762
11800	118.0000		266	734
11900	119.0000		243	757
12000	120.0000		241	759
12100	121.0000		228	772
12200	122.0000		276	724
12300	123.0000		245	755
12400	124.0000		246	754
12500	125.0000		240	760
12600	126.0000		232	768
12700	127.0000		233	767
12800	128.0000		265	735
12900	129.0000		250	750
13000	130.0000		261	739
13100	131.0000		271	729
13200	132.0000		261	739
13300	133.0000		242	758
13400	134.0000		237	763
13500	135.0000		242	758
13600	136.0000		266	734
13700	137.0000		247	753
13800	138.0000		275	725
13900	139.0000		286	714
14000	140.0000		241	759
14100	141.0000		232	768
14200	142.0000		236	764
14300	143.0000		239	761
14400	144.0000		227	773
14500	145.0000		268	732
14600	146.0000		257	743
14700	147.0000		212	788
14800	148.0000		256	744
14900	149.0000		217	783
15000	150.0000		264	736
15100	151.0000		274	726
15200	152.0000		239	761
15300	153.0000		242	758
15400	154.0000		258	742
15500	155.0000		274	726
15600	156.0000		234	766
15700	157.0000		235	765
15800	158.0000		235	765
15900	159.0000		254	746
16000	160.0000		255	745
16100	161.0000		240	760
16200	162.0000		268	732
16300	163.0000		266	734
16400	164.0000		266	734
16500	165.0000		240	760
16600	166.0000		231	769
16700	167.0000		258	742
16800	168.0000		249	751
16900	169.0000		253	747
17000	170.0000		280	720
17100	171.0000		260	740
17200	172.0000		231	769
17300	173.0000		253	747
17400	174.0000		237	763
17500	175.0000		254	746
17600	176.0000		267	733
17700	177.0000		249	751
17800	178.0000		212	788
17900	179.0000		268	732
18000	180.0000		257	743
18100	181.0000		233	767
18200	182.0000		254	746
18300	183.0000		218	782
18400	184.0000		274	726
18500	185.0000		245	755
18600	186.0000		254	746
18700	187.0000		264	736
18800	188.0000		269	731
18900	189.0000		246	754
19000	190.0000		252	748
19100	191.0000		247	753
19200	192.0000		231	769
19300	193.0000		258	742
19400	194.0000		244	756
19500	195.0000		267	733
19600	196.0000		241	759
19700	197.0000		257	743
19800	198.0000		247	753
19900	199.0000		241	759
20000	200.0000		254	746
20100	201.0000		272	728
20200	202.0000		237	763
20300	203.0000		252	748
20400	204.0000		234	766
20500	205.0000		258	742
20600	206.0000		272	728
20700	207.0000		236	764
20800	208.0000		258	742
20900	209.0000		246	754
21000	210.0000		248	752
21100	211.0000		242	758
21200	212.0000		258	742
21300	213.0000		253	747
21400	214.0000		230	770
21500	215.0000		228	772
21600	216.0000		264	736
21700	217.0000		243	757
21800	218.0000		266	734
21900	219.0000		258	742
22000	220.0000		266	734
22100	221.0000		255	745
22200	222.0000		254	746
22300	223.0000		234	766
22400	224.0000		265	735
22500	225.0000		253	747
22600	226.0000		238	762
22700	227.0000		246	754
22800	228.0000		237	763
22900	229.0000		256	744
23000	230.0000		246	754
23100	231.0000		252	748
23200	232.0000		263	737
23300	233.0000		222	778
23400	234.0000		250	750
23500	235.0000		227	773
23600	236.0000		233	767
23700	237.0000		238	762
23800	238.0000		248	752
23900	239.0000		233	767
24000	240.0000		248	752
24100	241.0000		271	729
24200	242.0000		255	745
24300	243.0000		240	760
24400	244.0000		263	737
24500	245.0000		247	753
24600	246.0000		241	759
24700	247.0000		245	755
24800	248.0000		258	742
24900	249.0000		243	757
25000	250.0000		270	730
25100	251.0000		230	770
25200	252.0000		249	751
25300	253.0000		250	750
25400	254.0000		264	736
25500	255.0000		278	722
25600	256.0000		273	727
25700	257.0000		266	734
25800	258.0000		217	783
25900	259.0000		249	751
26000	260.0000		247	753
26100	261.0000		225	775
26200	262.0000		232	768
26300	263.0000		270	730
26400	264.0000		248	752
26500	265.0000		220	780
26600	266.0000		242	758
26700	267.0000		248	752
26800	268.0000		235	765
26900	269.0000		247	753
27000	270.0000		251	749
27100	271.0000		236	764
27200	272.0000		214	786
27300	273.0000		231	769
27400	274.0000		262	738
27500	275.0000		253	747
27600	276.0000		244	756
27700	277.0000		237	763
27800	278.0000		233	767
27900	279.0000		234	766
28000	280.0000		275	725
28100	281.0000		238	762
28200	282.0000		243	757
28300	283.0000		233	767
28400	284.0000		227	773
28500	285.0000		261	739
28600	286.0000		224	776
28700	287.0000		256	744
28800	288.0000		258	742
28900	289.0000		270	730
29000	290.0000		240	760
29100	291.0000		223	777
29200	292.0000		256	744
29300	293.0000		261	739
29400	294.0000		257	743
29500	295.0000		220	780
29600	296.0000		254	746
29700	297.0000		227	773
29800	298.0000		270	730
29900	299.0000		249	751
30000	300.0000		254	746
30100	301.0000		242	758
30200	302.0000		249	751
30300	303.0000		263	737
30400	304.0000		240	760
30500	305.0000		235	765
30600	306.0000		255	745
30700	307.0000		231	769
30800	308.0000		239	761
30900	309.0000		254	746
31000	310.0000		259	741
31100	311.0000		249	751
31200	312.0000		239	761
31300	313.0000		243	757
31400	314.0000		221	779
31500	315.0000		251	749
31600	316.0000		253	747
31700	317.0000		263	737
31800	318.0000		240	760
31900	319.0000		244	756
32000	320.0000		263	737
32100	321.0000		258	742
32200	322.0000		235	765
32300	323.0000		239	761
32400	324.0000		247	753
32500	325.0000		251	749
32600	326.0000		236	764
32700	327.0000		253	747
32800	328.0000		228	772
32900	329.0000		239	761
33000	330.0000		246	754
33100	331.0000		286	714
33200	332.0000		251	749
33300	333.0000		237	763
33400	334.0000		225	775
33500	335.0000		255	745
33600	336.0000		271	729
33700	337.0000		225	775
33800	338.0000		247	753
33900	339.0000		231	769
34000	340.0000		218	782
34100	341.0000		219	781
34200	342.0000		284	716
34300	343.0000		231	769
34400	344.0000		243	757
34500	345.0000		234	766
34600	346.0000		259	741
34700	347.0000		257	743
34800	348.0000		241	759
34900	349.0000		258	742
35000	350.0000		224	776
35100	351.0000		244	756
35200	352.0000		230	770
35300	353.0000		256	744
35400	354.0000		259	741
35500	355.0000		249	751
35600	356.0000		236	764
35700	357.0000		276	724
35800	358.0000		238	762
35900	359.0000		248	752
36000	360.0000		272	728
36100	361.0000		231	769
36200	362.0000		259	741
36300	363.0000		232	768
36400	364.0000		264	736
36500	365.0000		271	729
36600	366.0000		273	727
36700	367.0000		253	747
36800	368.0000		233	767
36900	369.0000		246	754
37000	370.0000		264	736
37100	371.0000		229	771
37200	372.0000		257	743
37300	373.0000		246	754
37400	374.0000		252	748
37500	375.0000		227	773
37600	376.0000		229	771
37700	377.0000		257	743
37800	378.0000		224	776
37900	379.0000		236	764
38000	380.0000		263	737
38100	381.0000		262	738
38200	382.0000		233	767
38300	383.0000		283	717
38400	384.0000		225	775
38500	385.0000		243	757
38600	386.0000		237	763
38700	387.0000		219	781
38800	388.0000		248	752
38900	389.0000		252	748
39000	390.0000		237	763
39100	391.0000		250	750
39200	392.0000		247	753
39300	393.0000		262	738
39400	394.0000		273	727
39500	395.0000		215	785
39600	396.0000		260	740
39700	397.0000		231	769
39800	398.0000		251	749
39900	399.0000		240	760
40000	400.0000		244	756
40100	401.0000		241	759
40200	402.0000		248	752
40300	403.0000		252	748
40400	404.0000		251	749
40500	405.0000		238	762
40600	406.0000		250	750
40700	407.0000		243	757
40800	408.0000		254	746
40900	409.0000		236	764
41000	410.0000		237	763
41100	411.0000		237	763
41200	412.0000		233	767
41300	413.0000		228	772
41400	414.0000		265	735
41500	415.0000		260	740
41600	416.0000		254	746
41700	417.0000		271	729
41800	418.0000		261	739
41900	419.0000		265	735
42000	420.0000		244	756
42100	421.0000		252	748
42200	422.0000		255	745
42300	423.0000		228	772
42400	424.0000		276	724
42500	425.0000		250	750
42600	426.0000		249	751
42700	427.0000		261	739
42800	428.0000		271	729
42900	429.0000		250	750
43000	430.0000		271	729
43100	431.0000		235	765
43200	432.0000		274	726
43300	433.0000		256	744
43400	434.0000		243	757
43500	435.0000		253	747
43600	436.0000		269	731
43700	437.0000		264	736
43800	438.0000		270	730
43900	439.0000		271	729
44000	440.0000		246	754
44100	441.0000		246	754
44200	442.0000		235	765
44300	443.0000		262	738
44400	444.0000		272	728
44500	445.0000		236	764
44600	446.0000		235	765
44700	447.0000		241	759
44800	448.0000		255	745
44900	449.0000		239	761
45000	450.0000		256	744
45100	451.0000		256	744
45200	452.0000		266	734
45300	453.0000		269	731
45400	454.0000		251	749
45500	455.0000		229	771
45600	456.0000		237	763
45700	457.0000		262	738
45800	458.0000		250	750
45900	459.0000		235	765
46000	460.0000		271	729
46100	461.0000		262	738
46200	462.0000		261	739
46300	463.0000		272	728
46400	464.0000		253	747
46500	465.0000		262	738
46600	466.0000		256	744
46700	467.0000		241	759
46800	468.0000		264	736
46900	469.0000		259	741
47000	470.0000		242	758
47100	471.0000		264	736
47200	472.0000		259	741
47300	473.0000		265	735
47400	474.0000		253	747
47500	475.0000		252	748
