# Creating system...
# System created with N=1000 particles

# Initial state:
# Susceptibles: 999, Infected: 1

# Starting simulation...
# Step	Time		S	I
0	0.0000		999	1
100	1.0000		979	21
200	2.0000		947	53
300	3.0000		900	100
400	4.0000		793	207
500	5.0000		700	300
600	6.0000		545	455
700	7.0000		416	584
800	8.0000		322	678
900	9.0000		254	746
1000	10.0000		269	731
1100	11.0000		257	743
1200	12.0000		244	756
1300	13.0000		214	786
1400	14.0000		231	769
1500	15.0000		248	752
1600	16.0000		218	782
1700	17.0000		261	739
1800	18.0000		266	734
1900	19.0000		221	779
2000	20.0000		244	756
2100	21.0000		213	787
2200	22.0000		237	763
2300	23.0000		271	729
2400	24.0000		230	770
2500	25.0000		226	774
2600	26.0000		223	777
2700	27.0000		267	733
2800	28.0000		268	732
2900	29.0000		261	739
3000	30.0000		278	722
3100	31.0000		284	716
3200	32.0000		271	729
3300	33.0000		251	749
3400	34.0000		250	750
3500	35.0000		246	754
3600	36.0000		251	749
3700	37.0000		262	738
3800	38.0000		263	737
3900	39.0000		260	740
4000	40.0000		279	721
4100	41.0000		247	753
4200	42.0000		240	760
4300	43.0000		242	758
4400	44.0000		256	744
4500	45.0000		251	749
4600	46.0000		253	747
4700	47.0000		233	767
4800	48.0000		252	748
4900	49.0000		260	740
5000	50.0000		272	728
5100	51.0000		266	734
5200	52.0000		275	725
5300	53.0000		250	750
5400	54.0000		247	753
5500	55.0000		251	749
5600	56.0000		247	753
5700	57.0000		269	731
5800	58.0000		241	759
5900	59.0000		263	737
6000	60.0000		233	767
6100	61.0000		232	768
6200	62.0000		251	749
6300	63.0000		262	738
6400	64.0000		240	760
6500	65.0000		254	746
6600	66.0000		223	777
6700	67.0000		275	725
6800	68.0000		245	755
6900	69.0000		260	740
7000	70.0000		264	736
7100	71.0000		260	740
7200	72.0000		261	739
7300	73.0000		248	752
7400	74.0000		254	746
7500	75.0000		230	770
7600	76.0000		271	729
7700	77.0000		259	741
7800	78.0000		249	751
7900	79.0000		244	756
8000	80.0000		248	752
8100	81.0000		240	760
8200	82.0000		242	758
8300	83.0000		280	720
8400	84.0000		251	749
8500	85.0000		246	754
8600	86.0000		256	744
8700	87.0000		238	762
8800	88.0000		250	750
8900	89.0000		276	724
9000	90.0000		264	736
9100	91.0000		276	724
9200	92.0000		228	772
9300	93.0000		263	737
9400	94.0000		244	756
9500	95.0000		248	752
9600	96.0000		239	761
9700	97.0000		238	762
9800	98.0000		275	725
9900	99.0000		227	773
10000	100.0000		252	748
10100	101.0000		252	748
10200	102.0000		267	733
