# Creating system...
# System created with N=1000 particles

# Initial state:
# Susceptibles: 999, Infected: 1

# Starting simulation...
# Step	Time		S	I
0	0.0000		999	1
100	1.0000		975	25
200	2.0000		925	75
300	3.0000		859	141
400	4.0000		756	244
500	5.0000		651	349
600	6.0000		510	490
700	7.0000		410	590
800	8.0000		315	685
900	9.0000		259	741
1000	10.0000		263	737
1100	11.0000		252	748
1200	12.0000		262	738
1300	13.0000		226	774
1400	14.0000		263	737
1500	15.0000		263	737
1600	16.0000		246	754
1700	17.0000		245	755
1800	18.0000		261	739
1900	19.0000		257	743
2000	20.0000		222	778
2100	21.0000		274	726
2200	22.0000		238	762
2300	23.0000		234	766
2400	24.0000		273	727
2500	25.0000		269	731
2600	26.0000		238	762
2700	27.0000		220	780
2800	28.0000		235	765
2900	29.0000		251	749
3000	30.0000		225	775
3100	31.0000		262	738
3200	32.0000		250	750
3300	33.0000		270	730
3400	34.0000		230	770
3500	35.0000		261	739
3600	36.0000		244	756
3700	37.0000		264	736
3800	38.0000		258	742
3900	39.0000		257	743
4000	40.0000		253	747
4100	41.0000		255	745
4200	42.0000		241	759
4300	43.0000		212	788
4400	44.0000		259	741
4500	45.0000		282	718
4600	46.0000		257	743
4700	47.0000		242	758
4800	48.0000		231	769
4900	49.0000		237	763
5000	50.0000		272	728
5100	51.0000		253	747
5200	52.0000		241	759
5300	53.0000		236	764
5400	54.0000		264	736
5500	55.0000		242	758
5600	56.0000		246	754
5700	57.0000		258	742
5800	58.0000		235	765
5900	59.0000		267	733
6000	60.0000		251	749
6100	61.0000		232	768
6200	62.0000		226	774
6300	63.0000		232	768
6400	64.0000		259	741
6500	65.0000		237	763
6600	66.0000		257	743
6700	67.0000		248	752
6800	68.0000		280	720
6900	69.0000		229	771
7000	70.0000		254	746
7100	71.0000		245	755
7200	72.0000		242	758
7300	73.0000		255	745
7400	74.0000		251	749
7500	75.0000		253	747
7600	76.0000		243	757
7700	77.0000		244	756
7800	78.0000		238	762
7900	79.0000		243	757
8000	80.0000		244	756
8100	81.0000		257	743
8200	82.0000		252	748
8300	83.0000		245	755
8400	84.0000		257	743
8500	85.0000		258	742
8600	86.0000		270	730
8700	87.0000		241	759
8800	88.0000		231	769
8900	89.0000		257	743
9000	90.0000		248	752
9100	91.0000		235	765
9200	92.0000		241	759
9300	93.0000		272	728
9400	94.0000		257	743
9500	95.0000		280	720
9600	96.0000		245	755
9700	97.0000		250	750
9800	98.0000		253	747
9900	99.0000		276	724
10000	100.0000		238	762
10100	101.0000		262	738
10200	102.0000		255	745
10300	103.0000		258	742
10400	104.0000		244	756
10500	105.0000		242	758
10600	106.0000		232	768
10700	107.0000		243	757
10800	108.0000		232	768
10900	109.0000		265	735
11000	110.0000		244	756
11100	111.0000		265	735
11200	112.0000		263	737
11300	113.0000		234	766
11400	114.0000		208	792
11500	115.0000		245	755
11600	116.0000		233	767
11700	117.0000		245	755
11800	118.0000		258	742
11900	119.0000		238	762
12000	120.0000		232	768
12100	121.0000		261	739
12200	122.0000		245	755
12300	123.0000		263	737
12400	124.0000		233	767
12500	125.0000		243	757
12600	126.0000		223	777
12700	127.0000		278	722
12800	128.0000		242	758
12900	129.0000		259	741
13000	130.0000		242	758
13100	131.0000		252	748
13200	132.0000		272	728
13300	133.0000		244	756
13400	134.0000		261	739
13500	135.0000		253	747
13600	136.0000		260	740
13700	137.0000		259	741
13800	138.0000		265	735
13900	139.0000		258	742
14000	140.0000		245	755
14100	141.0000		247	753
14200	142.0000		234	766
14300	143.0000		249	751
14400	144.0000		268	732
14500	145.0000		238	762
14600	146.0000		236	764
14700	147.0000		235	765
14800	148.0000		222	778
14900	149.0000		261	739
15000	150.0000		275	725
15100	151.0000		243	757
15200	152.0000		230	770
15300	153.0000		223	777
15400	154.0000		282	718
15500	155.0000		226	774
15600	156.0000		241	759
15700	157.0000		245	755
15800	158.0000		293	707
15900	159.0000		239	761
16000	160.0000		261	739
16100	161.0000		252	748
16200	162.0000		245	755
16300	163.0000		260	740
16400	164.0000		279	721
16500	165.0000		236	764
16600	166.0000		267	733
16700	167.0000		241	759
16800	168.0000		261	739
16900	169.0000		267	733
17000	170.0000		255	745
17100	171.0000		234	766
17200	172.0000		269	731
17300	173.0000		258	742
17400	174.0000		265	735
17500	175.0000		218	782
17600	176.0000		242	758
17700	177.0000		258	742
17800	178.0000		247	753
17900	179.0000		232	768
18000	180.0000		256	744
18100	181.0000		222	778
18200	182.0000		253	747
18300	183.0000		270	730
18400	184.0000		247	753
18500	185.0000		246	754
18600	186.0000		265	735
18700	187.0000		251	749
18800	188.0000		252	748
18900	189.0000		270	730
19000	190.0000		250	750
19100	191.0000		248	752
19200	192.0000		276	724
19300	193.0000		233	767
19400	194.0000		249	751
19500	195.0000		244	756
19600	196.0000		263	737
19700	197.0000		244	756
19800	198.0000		232	768
19900	199.0000		222	778
20000	200.0000		268	732
20100	201.0000		244	756
20200	202.0000		277	723
20300	203.0000		254	746
20400	204.0000		247	753
20500	205.0000		249	751
20600	206.0000		257	743
20700	207.0000		238	762
20800	208.0000		245	755
20900	209.0000		241	759
21000	210.0000		237	763
21100	211.0000		238	762
21200	212.0000		265	735
21300	213.0000		239	761
21400	214.0000		260	740
21500	215.0000		252	748
21600	216.0000		209	791
21700	217.0000		268	732
21800	218.0000		268	732
21900	219.0000		236	764
22000	220.0000		243	757
22100	221.0000		224	776
22200	222.0000		250	750
22300	223.0000		237	763
22400	224.0000		234	766
22500	225.0000		227	773
22600	226.0000		255	745
22700	227.0000		223	777
22800	228.0000		273	727
22900	229.0000		240	760
23000	230.0000		244	756
23100	231.0000		247	753
23200	232.0000		271	729
23300	233.0000		245	755
23400	234.0000		225	775
23500	235.0000		229	771
23600	236.0000		223	777
23700	237.0000		244	756
23800	238.0000		243	757
23900	239.0000		268	732
24000	240.0000		266	734
24100	241.0000		245	755
24200	242.0000		267	733
24300	243.0000		247	753
24400	244.0000		254	746
24500	245.0000		240	760
24600	246.0000		260	740
24700	247.0000		249	751
24800	248.0000		252	748
24900	249.0000		233	767
25000	250.0000		253	747
25100	251.0000		253	747
25200	252.0000		235	765
25300	253.0000		269	731
25400	254.0000		269	731
25500	255.0000		257	743
25600	256.0000		246	754
25700	257.0000		270	730
25800	258.0000		246	754
25900	259.0000		258	742
26000	260.0000		266	734
26100	261.0000		236	764
26200	262.0000		258	742
26300	263.0000		250	750
26400	264.0000		248	752
26500	265.0000		248	752
26600	266.0000		246	754
26700	267.0000		261	739
26800	268.0000		239	761
26900	269.0000		254	746
27000	270.0000		247	753
27100	271.0000		243	757
27200	272.0000		236	764
