# Step	Time	mean_S	stderr_S	mean_I	stderr_I
9900	99.0000	396.660000	42.721092	603.340000	42.721092
10000	100.0000	401.220000	42.387680	598.780000	42.387680
10100	101.0000	397.880000	42.629817	602.120000	42.629817
10200	102.0000	397.200000	42.662058	602.800000	42.662058
10300	103.0000	400.840000	42.403258	599.160000	42.403258
10400	104.0000	398.140000	42.613838	601.860000	42.613838
10500	105.0000	399.700000	42.493625	600.300000	42.493625
10600	106.0000	398.060000	42.608125	601.940000	42.608125
10700	107.0000	398.600000	42.571690	601.400000	42.571690
10800	108.0000	399.780000	42.481877	600.220000	42.481877
10900	109.0000	398.400000	42.596976	601.600000	42.596976
11000	110.0000	398.420000	42.592873	601.580000	42.592873
11100	111.0000	397.460000	42.656087	602.540000	42.656087
11200	112.0000	401.200000	42.369782	598.800000	42.369782
11300	113.0000	398.300000	42.601815	601.700000	42.601815
11400	114.0000	398.980000	42.573696	601.020000	42.573696
11500	115.0000	397.080000	42.682070	602.920000	42.682070
11600	116.0000	396.940000	42.684305	603.060000	42.684305
11700	117.0000	399.880000	42.471154	600.120000	42.471154
11800	118.0000	395.880000	42.764692	604.120000	42.764692
11900	119.0000	398.260000	42.588757	601.740000	42.588757
12000	120.0000	398.680000	42.554882	601.320000	42.554882
12100	121.0000	402.000000	42.331123	598.000000	42.331123
12200	122.0000	401.420000	42.381251	598.580000	42.381251
12300	123.0000	401.040000	42.404245	598.960000	42.404245
12400	124.0000	397.800000	42.640797	602.200000	42.640797
12500	125.0000	399.780000	42.500892	600.220000	42.500892
12600	126.0000	397.300000	42.662510	602.700000	42.662510
12700	127.0000	400.540000	42.419167	599.460000	42.419167
12800	128.0000	401.140000	42.376107	598.860000	42.376107
12900	129.0000	397.580000	42.640911	602.420000	42.640911
13000	130.0000	401.620000	42.360273	598.380000	42.360273
13100	131.0000	399.440000	42.518167	600.560000	42.518167
13200	132.0000	404.200000	42.180773	595.800000	42.180773
13300	133.0000	397.520000	42.633698	602.480000	42.633698
13400	134.0000	400.540000	42.437655	599.460000	42.437655
13500	135.0000	401.440000	42.375032	598.560000	42.375032
13600	136.0000	397.100000	42.685916	602.900000	42.685916
13700	137.0000	396.880000	42.720268	603.120000	42.720268
13800	138.0000	398.080000	42.623354	601.920000	42.623354
13900	139.0000	401.240000	42.410381	598.760000	42.410381
14000	140.0000	401.260000	42.373811	598.740000	42.373811
14100	141.0000	398.920000	42.547055	601.080000	42.547055
14200	142.0000	402.080000	42.337509	597.920000	42.337509
14300	143.0000	398.080000	42.593867	601.920000	42.593867
14400	144.0000	396.380000	42.735586	603.620000	42.735586
14500	145.0000	400.620000	42.417326	599.380000	42.417326
14600	146.0000	399.820000	42.480713	600.180000	42.480713
14700	147.0000	397.320000	42.670865	602.680000	42.670865
14800	148.0000	401.340000	42.387287	598.660000	42.387287
14900	149.0000	398.900000	42.560040	601.100000	42.560040
15000	150.0000	399.320000	42.525366	600.680000	42.525366
15100	151.0000	397.240000	42.675441	602.760000	42.675441
15200	152.0000	396.140000	42.743683	603.860000	42.743683
15300	153.0000	396.540000	42.697065	603.460000	42.697065
15400	154.0000	402.140000	42.307512	597.860000	42.307512
15500	155.0000	398.420000	42.583143	601.580000	42.583143
15600	156.0000	396.500000	42.726753	603.500000	42.726753
15700	157.0000	398.120000	42.602034	601.880000	42.602034
15800	158.0000	400.200000	42.449707	599.800000	42.449707
15900	159.0000	397.400000	42.664458	602.600000	42.664458
16000	160.0000	398.100000	42.604181	601.900000	42.604181
16100	161.0000	396.820000	42.684449	603.180000	42.684449
16200	162.0000	396.260000	42.738973	603.740000	42.738973
16300	163.0000	400.980000	42.391608	599.020000	42.391608
16400	164.0000	398.420000	42.606442	601.580000	42.606442
16500	165.0000	398.900000	42.547256	601.100000	42.547256
16600	166.0000	400.520000	42.440973	599.480000	42.440973
16700	167.0000	398.260000	42.583394	601.740000	42.583394
16800	168.0000	398.000000	42.608065	602.000000	42.608065
16900	169.0000	397.180000	42.683174	602.820000	42.683174
17000	170.0000	398.200000	42.587501	601.800000	42.587501
17100	171.0000	396.460000	42.705571	603.540000	42.705571
17200	172.0000	395.860000	42.764350	604.140000	42.764350
17300	173.0000	402.040000	42.343925	597.960000	42.343925
17400	174.0000	400.000000	42.482090	600.000000	42.482090
17500	175.0000	396.920000	42.692340	603.080000	42.692340
17600	176.0000	399.240000	42.525471	600.760000	42.525471
17700	177.0000	402.640000	42.282599	597.360000	42.282599
17800	178.0000	396.120000	42.747404	603.880000	42.747404
17900	179.0000	396.640000	42.715569	603.360000	42.715569
18000	180.0000	399.060000	42.522525	600.940000	42.522525
18100	181.0000	395.440000	42.794151	604.560000	42.794151
18200	182.0000	401.700000	42.341594	598.300000	42.341594
18300	183.0000	398.780000	42.550725	601.220000	42.550725
18400	184.0000	403.160000	42.257945	596.840000	42.257945
18500	185.0000	399.220000	42.524415	600.780000	42.524415
18600	186.0000	399.160000	42.517586	600.840000	42.517586
18700	187.0000	400.880000	42.391486	599.120000	42.391486
18800	188.0000	399.900000	42.480473	600.100000	42.480473
18900	189.0000	398.900000	42.574483	601.100000	42.574483
19000	190.0000	396.020000	42.744286	603.980000	42.744286
19100	191.0000	400.900000	42.406143	599.100000	42.406143
19200	192.0000	401.320000	42.381906	598.680000	42.381906
19300	193.0000	397.820000	42.610296	602.180000	42.610296
19400	194.0000	400.660000	42.412513	599.340000	42.412513
19500	195.0000	398.480000	42.577602	601.520000	42.577602
19600	196.0000	398.720000	42.595155	601.280000	42.595155
19700	197.0000	398.580000	42.570188	601.420000	42.570188
